Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  160.99514484405518  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 49/150 | Train Loss: 0.1087 | Epoch Time: 0.01s | Spearman@80: 0.0028 | Kendall@80: -0.0038
Epoch 50/150 | Train Loss: 0.0320 | Epoch Time: 0.01s | Spearman@80: 0.0113 | Kendall@80: 0.0146
Epoch 51/150 | Train Loss: 0.1114 | Epoch Time: 0.01s | Spearman@80: 0.1367 | Kendall@80: 0.0956
Epoch 52/150 | Train Loss: 0.1123 | Epoch Time: 0.01s | Spearman@80: 0.1594 | Kendall@80: 0.1025
Epoch 53/150 | Train Loss: 0.1303 | Epoch Time: 0.01s | Spearman@80: 0.0748 | Kendall@80: 0.0462
Epoch 54/150 | Train Loss: 0.0671 | Epoch Time: 0.01s | Spearman@80: 0.1431 | Kendall@80: 0.1006
Epoch 55/150 | Train Loss: 0.0667 | Epoch Time: 0.01s | Spearman@80: 0.0366 | Kendall@80: 0.0228
Epoch 56/150 | Train Loss: 0.1098 | Epoch Time: 0.01s | Spearman@80: 0.1372 | Kendall@80: 0.0987
Epoch 57/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0982 | Kendall@80: 0.0671
Epoch 58/150 | Train Loss: 0.0088 | Epoch Time: 0.01s | Spearman@80: 0.0236 | Kendall@80: 0.0297
Epoch 59/150 | Train Loss: 0.0449 | Epoch Time: 0.01s | Spearman@80: 0.0355 | Kendall@80: 0.0222
Epoch 60/150 | Train Loss: 0.0761 | Epoch Time: 0.01s | Spearman@80: 0.0012 | Kendall@80: -0.0063
Epoch 61/150 | Train Loss: 0.0952 | Epoch Time: 0.01s | Spearman@80: 0.0813 | Kendall@80: 0.0582
Epoch 62/150 | Train Loss: 0.0098 | Epoch Time: 0.01s | Spearman@80: 0.1043 | Kendall@80: 0.0709
Epoch 63/150 | Train Loss: 0.0810 | Epoch Time: 0.01s | Spearman@80: 0.0855 | Kendall@80: 0.0563
Epoch 64/150 | Train Loss: 0.0549 | Epoch Time: 0.01s | Spearman@80: 0.0024 | Kendall@80: -0.0038
Epoch 65/150 | Train Loss: 0.0089 | Epoch Time: 0.01s | Spearman@80: 0.0023 | Kendall@80: -0.0044
Epoch 66/150 | Train Loss: 0.0305 | Epoch Time: 0.01s | Spearman@80: 0.0039 | Kendall@80: -0.0038
Epoch 67/150 | Train Loss: 0.0970 | Epoch Time: 0.01s | Spearman@80: 0.0826 | Kendall@80: 0.0595
Epoch 68/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0947 | Kendall@80: 0.0658
Epoch 69/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0013 | Kendall@80: -0.0044
Epoch 70/150 | Train Loss: 0.0323 | Epoch Time: 0.01s | Spearman@80: 0.0023 | Kendall@80: -0.0044
Epoch 71/150 | Train Loss: 0.0386 | Epoch Time: 0.01s | Spearman@80: -0.0113 | Kendall@80: -0.0095
Epoch 72/150 | Train Loss: 0.0897 | Epoch Time: 0.01s | Spearman@80: 0.0239 | Kendall@80: 0.0177
Epoch 73/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0302 | Kendall@80: 0.0196
Epoch 74/150 | Train Loss: 0.0286 | Epoch Time: 0.01s | Spearman@80: 0.0104 | Kendall@80: 0.0190
Epoch 75/150 | Train Loss: 0.0133 | Epoch Time: 0.01s | Spearman@80: 0.0231 | Kendall@80: 0.0241
Epoch 76/150 | Train Loss: 0.1034 | Epoch Time: 0.01s | Spearman@80: 0.0419 | Kendall@80: 0.0437
Epoch 77/150 | Train Loss: 0.0065 | Epoch Time: 0.01s | Spearman@80: 0.0165 | Kendall@80: 0.0241
Epoch 78/150 | Train Loss: 0.1229 | Epoch Time: 0.01s | Spearman@80: 0.0052 | Kendall@80: 0.0177
Epoch 79/150 | Train Loss: 0.1213 | Epoch Time: 0.01s | Spearman@80: 0.0065 | Kendall@80: 0.0108
Epoch 80/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0158 | Kendall@80: 0.0196
Epoch 81/150 | Train Loss: 0.0852 | Epoch Time: 0.01s | Spearman@80: 0.0124 | Kendall@80: 0.0209
Epoch 82/150 | Train Loss: 0.0606 | Epoch Time: 0.01s | Spearman@80: 0.0029 | Kendall@80: 0.0076
Epoch 83/150 | Train Loss: 0.0436 | Epoch Time: 0.01s | Spearman@80: 0.0165 | Kendall@80: 0.0247
Epoch 84/150 | Train Loss: 0.1088 | Epoch Time: 0.01s | Spearman@80: 0.0714 | Kendall@80: 0.0525
Epoch 85/150 | Train Loss: 0.0084 | Epoch Time: 0.01s | Spearman@80: 0.0454 | Kendall@80: 0.0449
