Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  114.93001914024353  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 1/150 | Train Loss: 0.0373 | Epoch Time: 3.07s | Spearman@80: -0.0582 | Kendall@80: -0.0312
Epoch 2/150 | Train Loss: 0.0288 | Epoch Time: 0.01s | Spearman@80: -0.4018 | Kendall@80: -0.2846
Epoch 3/150 | Train Loss: 0.3712 | Epoch Time: 0.01s | Spearman@80: -0.3278 | Kendall@80: -0.2287
Epoch 4/150 | Train Loss: 0.1460 | Epoch Time: 0.01s | Spearman@80: -0.4446 | Kendall@80: -0.3164
Epoch 5/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.3627 | Kendall@80: -0.2560
Epoch 6/150 | Train Loss: 0.3849 | Epoch Time: 0.01s | Spearman@80: -0.2147 | Kendall@80: -0.1495
Epoch 7/150 | Train Loss: 0.1356 | Epoch Time: 0.01s | Spearman@80: -0.1089 | Kendall@80: -0.0812
Epoch 8/150 | Train Loss: 0.1876 | Epoch Time: 0.01s | Spearman@80: 0.0118 | Kendall@80: -0.0013
Epoch 9/150 | Train Loss: 0.0164 | Epoch Time: 0.01s | Spearman@80: 0.1694 | Kendall@80: 0.1072
Epoch 10/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.2616 | Kendall@80: 0.1728
Epoch 11/150 | Train Loss: 0.0551 | Epoch Time: 0.01s | Spearman@80: 0.4637 | Kendall@80: 0.3197
Epoch 12/150 | Train Loss: 0.0572 | Epoch Time: 0.01s | Spearman@80: 0.5692 | Kendall@80: 0.4029
Epoch 13/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.6685 | Kendall@80: 0.4789
Epoch 14/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7516 | Kendall@80: 0.5543
Epoch 15/150 | Train Loss: 0.1313 | Epoch Time: 0.01s | Spearman@80: 0.8250 | Kendall@80: 0.6322
Epoch 16/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.8581 | Kendall@80: 0.6751
Epoch 17/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.8729 | Kendall@80: 0.6953
Epoch 18/150 | Train Loss: 0.0781 | Epoch Time: 0.01s | Spearman@80: 0.8884 | Kendall@80: 0.7141
Epoch 19/150 | Train Loss: 0.1765 | Epoch Time: 0.01s | Spearman@80: 0.8778 | Kendall@80: 0.6946
Epoch 20/150 | Train Loss: 0.0207 | Epoch Time: 0.01s | Spearman@80: 0.8893 | Kendall@80: 0.7174
Epoch 21/150 | Train Loss: 0.0385 | Epoch Time: 0.01s | Spearman@80: 0.8772 | Kendall@80: 0.6953
Epoch 22/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.8648 | Kendall@80: 0.6790
Epoch 23/150 | Train Loss: 0.1551 | Epoch Time: 0.01s | Spearman@80: 0.8702 | Kendall@80: 0.6868
Epoch 24/150 | Train Loss: 0.0892 | Epoch Time: 0.01s | Spearman@80: 0.8750 | Kendall@80: 0.6953
Epoch 25/150 | Train Loss: 0.0849 | Epoch Time: 0.01s | Spearman@80: 0.8654 | Kendall@80: 0.6797
Epoch 26/150 | Train Loss: 0.0359 | Epoch Time: 0.01s | Spearman@80: 0.8561 | Kendall@80: 0.6680
Epoch 27/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.8433 | Kendall@80: 0.6524
Epoch 28/150 | Train Loss: 0.2862 | Epoch Time: 0.01s | Spearman@80: 0.8273 | Kendall@80: 0.6316
Epoch 29/150 | Train Loss: 0.0316 | Epoch Time: 0.01s | Spearman@80: 0.8020 | Kendall@80: 0.6050
Epoch 30/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7821 | Kendall@80: 0.5861
Epoch 31/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7783 | Kendall@80: 0.5835
Epoch 32/150 | Train Loss: 0.0280 | Epoch Time: 0.01s | Spearman@80: 0.7554 | Kendall@80: 0.5582
Epoch 33/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7370 | Kendall@80: 0.5465
Epoch 34/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7411 | Kendall@80: 0.5491
Epoch 35/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7382 | Kendall@80: 0.5484
Epoch 36/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7299 | Kendall@80: 0.5400
Epoch 37/150 | Train Loss: 0.0204 | Epoch Time: 0.01s | Spearman@80: 0.7177 | Kendall@80: 0.5309
Epoch 38/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7007 | Kendall@80: 0.5153
Epoch 39/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.6927 | Kendall@80: 0.5068
Epoch 40/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7068 | Kendall@80: 0.5198
Epoch 41/150 | Train Loss: 0.0070 | Epoch Time: 0.01s | Spearman@80: 0.7152 | Kendall@80: 0.5315
Epoch 42/150 | Train Loss: 0.0074 | Epoch Time: 0.01s | Spearman@80: 0.7207 | Kendall@80: 0.5393
Epoch 43/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7235 | Kendall@80: 0.5419
Epoch 44/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7126 | Kendall@80: 0.5335
Epoch 45/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7071 | Kendall@80: 0.5270
Epoch 46/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.7026 | Kendall@80: 0.5237
Epoch 47/150 | Train Loss: 0.1147 | Epoch Time: 0.01s | Spearman@80: 0.6943 | Kendall@80: 0.5172
