normalizing task:  Amoeba.json
normalizing task:  PNAS_fix-w-d.json
normalizing task:  ENAS_fix-w-d.json
normalizing task:  NASNet.json
normalizing task:  DARTS.json
normalizing task:  ENAS.json
normalizing task:  PNAS.json
normalizing task:  DARTS_lr-wd.json
normalizing task:  DARTS_fix-w-d.json
Epoch 1/150 | Train Loss: 0.0988 | Epoch Time: 0.91s | Spearman@80: 0.1917 | Kendall@80: 0.1423
Epoch 2/150 | Train Loss: 0.0862 | Epoch Time: 0.33s | Spearman@80: 0.1262 | Kendall@80: 0.0865
Epoch 3/150 | Train Loss: 0.0874 | Epoch Time: 0.33s | Spearman@80: 0.1788 | Kendall@80: 0.1239
Epoch 4/150 | Train Loss: 0.0732 | Epoch Time: 0.35s | Spearman@80: 0.1801 | Kendall@80: 0.1188
Epoch 5/150 | Train Loss: 0.0726 | Epoch Time: 0.33s | Spearman@80: 0.1841 | Kendall@80: 0.1271
Epoch 6/150 | Train Loss: 0.0779 | Epoch Time: 0.34s | Spearman@80: 0.2263 | Kendall@80: 0.1619
Epoch 7/150 | Train Loss: 0.0712 | Epoch Time: 0.33s | Spearman@80: 0.2810 | Kendall@80: 0.1879
Epoch 8/150 | Train Loss: 0.0669 | Epoch Time: 0.32s | Spearman@80: 0.2745 | Kendall@80: 0.1778
Epoch 9/150 | Train Loss: 0.0582 | Epoch Time: 0.33s | Spearman@80: 0.3157 | Kendall@80: 0.2215
Epoch 10/150 | Train Loss: 0.0657 | Epoch Time: 0.33s | Spearman@80: 0.3646 | Kendall@80: 0.2469
Epoch 11/150 | Train Loss: 0.0595 | Epoch Time: 0.33s | Spearman@80: 0.4102 | Kendall@80: 0.2843
Epoch 12/150 | Train Loss: 0.0584 | Epoch Time: 0.32s | Spearman@80: 0.3489 | Kendall@80: 0.2380
Epoch 13/150 | Train Loss: 0.0567 | Epoch Time: 0.34s | Spearman@80: 0.4109 | Kendall@80: 0.2931
Epoch 14/150 | Train Loss: 0.0500 | Epoch Time: 0.32s | Spearman@80: 0.2088 | Kendall@80: 0.1455
Epoch 15/150 | Train Loss: 0.0648 | Epoch Time: 0.33s | Spearman@80: 0.3277 | Kendall@80: 0.2171
Epoch 16/150 | Train Loss: 0.0544 | Epoch Time: 0.33s | Spearman@80: 0.3839 | Kendall@80: 0.2633
Epoch 17/150 | Train Loss: 0.0632 | Epoch Time: 0.33s | Spearman@80: 0.3826 | Kendall@80: 0.2672
Epoch 18/150 | Train Loss: 0.0477 | Epoch Time: 0.34s | Spearman@80: 0.3131 | Kendall@80: 0.2158
Epoch 19/150 | Train Loss: 0.0465 | Epoch Time: 0.33s | Spearman@80: 0.3773 | Kendall@80: 0.2526
Epoch 20/150 | Train Loss: 0.0498 | Epoch Time: 0.33s | Spearman@80: 0.1970 | Kendall@80: 0.1391
Epoch 21/150 | Train Loss: 0.0550 | Epoch Time: 0.33s | Spearman@80: 0.3793 | Kendall@80: 0.2595
Epoch 22/150 | Train Loss: 0.0632 | Epoch Time: 0.33s | Spearman@80: 0.3953 | Kendall@80: 0.2767
Epoch 23/150 | Train Loss: 0.0531 | Epoch Time: 0.33s | Spearman@80: 0.3859 | Kendall@80: 0.2710
Epoch 24/150 | Train Loss: 0.0553 | Epoch Time: 0.34s | Spearman@80: 0.3951 | Kendall@80: 0.2691
Epoch 25/150 | Train Loss: 0.0444 | Epoch Time: 0.33s | Spearman@80: 0.3915 | Kendall@80: 0.2748
Epoch 26/150 | Train Loss: 0.0440 | Epoch Time: 0.32s | Spearman@80: 0.4058 | Kendall@80: 0.2805
