Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  117.19591736793518  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 1/150 | Train Loss: 0.4391 | Epoch Time: 2.07s | Spearman@80: -0.0300 | Kendall@80: -0.0273
Epoch 2/150 | Train Loss: 0.2157 | Epoch Time: 0.01s | Spearman@80: 0.0583 | Kendall@80: 0.0442
Epoch 3/150 | Train Loss: 0.1469 | Epoch Time: 0.01s | Spearman@80: 0.1242 | Kendall@80: 0.0825
Epoch 4/150 | Train Loss: 0.0368 | Epoch Time: 0.01s | Spearman@80: 0.0461 | Kendall@80: 0.0299
Epoch 5/150 | Train Loss: 0.0507 | Epoch Time: 0.01s | Spearman@80: 0.0003 | Kendall@80: 0.0006
Epoch 6/150 | Train Loss: 0.1632 | Epoch Time: 0.01s | Spearman@80: 0.0147 | Kendall@80: 0.0110
Epoch 7/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0578 | Kendall@80: 0.0455
Epoch 8/150 | Train Loss: 0.2071 | Epoch Time: 0.01s | Spearman@80: 0.1043 | Kendall@80: 0.0728
Epoch 9/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.1436 | Kendall@80: 0.0988
Epoch 10/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.1570 | Kendall@80: 0.1085
Epoch 11/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.1848 | Kendall@80: 0.1267
Epoch 12/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.1932 | Kendall@80: 0.1319
Epoch 13/150 | Train Loss: 0.0222 | Epoch Time: 0.01s | Spearman@80: 0.2037 | Kendall@80: 0.1378
Epoch 14/150 | Train Loss: 0.0849 | Epoch Time: 0.01s | Spearman@80: 0.1989 | Kendall@80: 0.1404
Epoch 15/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.2129 | Kendall@80: 0.1469
Epoch 16/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.2299 | Kendall@80: 0.1605
Epoch 17/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.2454 | Kendall@80: 0.1715
Epoch 18/150 | Train Loss: 0.0437 | Epoch Time: 0.01s | Spearman@80: 0.2527 | Kendall@80: 0.1767
Epoch 19/150 | Train Loss: 0.0187 | Epoch Time: 0.01s | Spearman@80: 0.2309 | Kendall@80: 0.1624
Epoch 20/150 | Train Loss: 0.2566 | Epoch Time: 0.01s | Spearman@80: 0.2304 | Kendall@80: 0.1624
Epoch 21/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.2459 | Kendall@80: 0.1748
