normalizing task:  Amoeba.json
normalizing task:  PNAS_fix-w-d.json
normalizing task:  ENAS_fix-w-d.json
normalizing task:  NASNet.json
normalizing task:  DARTS.json
normalizing task:  ENAS.json
normalizing task:  PNAS.json
normalizing task:  DARTS_lr-wd.json
normalizing task:  DARTS_fix-w-d.json
Epoch 1/150 | Train Loss: 0.1004 | Epoch Time: 2.14s | Spearman@80: 0.4861 | Kendall@80: 0.3240
Epoch 2/150 | Train Loss: 0.0976 | Epoch Time: 0.44s | Spearman@80: 0.1776 | Kendall@80: 0.1188
Epoch 3/150 | Train Loss: 0.0832 | Epoch Time: 0.44s | Spearman@80: 0.1551 | Kendall@80: 0.1036
Epoch 4/150 | Train Loss: 0.0830 | Epoch Time: 0.44s | Spearman@80: 0.1384 | Kendall@80: 0.0852
Epoch 5/150 | Train Loss: 0.0794 | Epoch Time: 0.43s | Spearman@80: 0.1684 | Kendall@80: 0.1061
Epoch 6/150 | Train Loss: 0.0824 | Epoch Time: 0.44s | Spearman@80: 0.1625 | Kendall@80: 0.1105
Epoch 7/150 | Train Loss: 0.0715 | Epoch Time: 0.43s | Spearman@80: 0.1397 | Kendall@80: 0.0846
Epoch 8/150 | Train Loss: 0.0653 | Epoch Time: 0.44s | Spearman@80: 0.2415 | Kendall@80: 0.1542
Epoch 9/150 | Train Loss: 0.0689 | Epoch Time: 0.43s | Spearman@80: 0.2425 | Kendall@80: 0.1618
Epoch 10/150 | Train Loss: 0.0734 | Epoch Time: 0.43s | Spearman@80: 0.3131 | Kendall@80: 0.2036
Epoch 11/150 | Train Loss: 0.0717 | Epoch Time: 0.43s | Spearman@80: 0.3464 | Kendall@80: 0.2283
Epoch 12/150 | Train Loss: 0.0610 | Epoch Time: 0.43s | Spearman@80: 0.3402 | Kendall@80: 0.2233
Epoch 13/150 | Train Loss: 0.0674 | Epoch Time: 0.44s | Spearman@80: 0.3441 | Kendall@80: 0.2220
Epoch 14/150 | Train Loss: 0.0600 | Epoch Time: 0.44s | Spearman@80: 0.2672 | Kendall@80: 0.1682
Epoch 15/150 | Train Loss: 0.0687 | Epoch Time: 0.43s | Spearman@80: 0.3863 | Kendall@80: 0.2518
Epoch 16/150 | Train Loss: 0.0547 | Epoch Time: 0.42s | Spearman@80: 0.4153 | Kendall@80: 0.2689
Epoch 17/150 | Train Loss: 0.0574 | Epoch Time: 0.41s | Spearman@80: 0.4032 | Kendall@80: 0.2752
Epoch 18/150 | Train Loss: 0.0576 | Epoch Time: 0.40s | Spearman@80: 0.4831 | Kendall@80: 0.3227
Epoch 19/150 | Train Loss: 0.0535 | Epoch Time: 0.40s | Spearman@80: 0.4648 | Kendall@80: 0.3063
Epoch 20/150 | Train Loss: 0.0504 | Epoch Time: 0.40s | Spearman@80: 0.4882 | Kendall@80: 0.3265
Epoch 21/150 | Train Loss: 0.0505 | Epoch Time: 0.41s | Spearman@80: 0.4710 | Kendall@80: 0.3246
Epoch 22/150 | Train Loss: 0.0445 | Epoch Time: 0.40s | Spearman@80: 0.4740 | Kendall@80: 0.3189
Epoch 23/150 | Train Loss: 0.0470 | Epoch Time: 0.40s | Spearman@80: 0.4444 | Kendall@80: 0.2854
Epoch 24/150 | Train Loss: 0.0466 | Epoch Time: 0.40s | Spearman@80: 0.3734 | Kendall@80: 0.2530
Epoch 25/150 | Train Loss: 0.0429 | Epoch Time: 0.40s | Spearman@80: 0.3616 | Kendall@80: 0.2315
Epoch 26/150 | Train Loss: 0.0563 | Epoch Time: 0.39s | Spearman@80: 0.4501 | Kendall@80: 0.3196
Epoch 27/150 | Train Loss: 0.0477 | Epoch Time: 0.39s | Spearman@80: 0.3799 | Kendall@80: 0.2416
Epoch 28/150 | Train Loss: 0.0378 | Epoch Time: 0.40s | Spearman@80: 0.4445 | Kendall@80: 0.3025
Epoch 29/150 | Train Loss: 0.0400 | Epoch Time: 0.40s | Spearman@80: 0.4248 | Kendall@80: 0.2771
Epoch 30/150 | Train Loss: 0.0505 | Epoch Time: 0.40s | Spearman@80: 0.4011 | Kendall@80: 0.2860
Epoch 31/150 | Train Loss: 0.0633 | Epoch Time: 0.40s | Spearman@80: 0.5008 | Kendall@80: 0.3405
Epoch 32/150 | Train Loss: 0.0465 | Epoch Time: 0.40s | Spearman@80: 0.4763 | Kendall@80: 0.3189
Epoch 33/150 | Train Loss: 0.0445 | Epoch Time: 0.40s | Spearman@80: 0.5105 | Kendall@80: 0.3474
Epoch 34/150 | Train Loss: 0.0329 | Epoch Time: 0.40s | Spearman@80: 0.4411 | Kendall@80: 0.2980
Epoch 35/150 | Train Loss: 0.0558 | Epoch Time: 0.39s | Spearman@80: 0.4824 | Kendall@80: 0.3316
Epoch 36/150 | Train Loss: 0.0441 | Epoch Time: 0.40s | Spearman@80: 0.4601 | Kendall@80: 0.3189
Epoch 37/150 | Train Loss: 0.0426 | Epoch Time: 0.40s | Spearman@80: 0.4288 | Kendall@80: 0.2885
Epoch 38/150 | Train Loss: 0.0382 | Epoch Time: 0.39s | Spearman@80: 0.3404 | Kendall@80: 0.2353
Epoch 39/150 | Train Loss: 0.0383 | Epoch Time: 0.40s | Spearman@80: 0.4107 | Kendall@80: 0.2816
Epoch 40/150 | Train Loss: 0.0325 | Epoch Time: 0.39s | Spearman@80: 0.3898 | Kendall@80: 0.2505
Epoch 41/150 | Train Loss: 0.0366 | Epoch Time: 0.40s | Spearman@80: 0.4051 | Kendall@80: 0.2765
Epoch 42/150 | Train Loss: 0.0296 | Epoch Time: 0.40s | Spearman@80: 0.3977 | Kendall@80: 0.2632
Epoch 43/150 | Train Loss: 0.0355 | Epoch Time: 0.40s | Spearman@80: 0.3369 | Kendall@80: 0.2277
Epoch 44/150 | Train Loss: 0.0246 | Epoch Time: 0.39s | Spearman@80: 0.3201 | Kendall@80: 0.2017
Epoch 45/150 | Train Loss: 0.0462 | Epoch Time: 0.40s | Spearman@80: 0.3766 | Kendall@80: 0.2416
Epoch 46/150 | Train Loss: 0.0410 | Epoch Time: 0.40s | Spearman@80: 0.3018 | Kendall@80: 0.2068
Epoch 47/150 | Train Loss: 0.0395 | Epoch Time: 0.40s | Spearman@80: 0.3504 | Kendall@80: 0.2334
Epoch 48/150 | Train Loss: 0.0440 | Epoch Time: 0.39s | Spearman@80: 0.4292 | Kendall@80: 0.2835
Epoch 49/150 | Train Loss: 0.0268 | Epoch Time: 0.39s | Spearman@80: 0.3479 | Kendall@80: 0.2416
Epoch 50/150 | Train Loss: 0.0349 | Epoch Time: 0.39s | Spearman@80: 0.3772 | Kendall@80: 0.2530
Epoch 51/150 | Train Loss: 0.0253 | Epoch Time: 0.40s | Spearman@80: 0.3819 | Kendall@80: 0.2492
Epoch 52/150 | Train Loss: 0.0311 | Epoch Time: 0.40s | Spearman@80: 0.3178 | Kendall@80: 0.2271
Epoch 53/150 | Train Loss: 0.0349 | Epoch Time: 0.40s | Spearman@80: 0.4317 | Kendall@80: 0.2955
Epoch 54/150 | Train Loss: 0.0285 | Epoch Time: 0.39s | Spearman@80: 0.4798 | Kendall@80: 0.3208
Epoch 55/150 | Train Loss: 0.0292 | Epoch Time: 0.39s | Spearman@80: 0.4351 | Kendall@80: 0.2999
Epoch 56/150 | Train Loss: 0.0310 | Epoch Time: 0.39s | Spearman@80: 0.2890 | Kendall@80: 0.1967
Epoch 57/150 | Train Loss: 0.0330 | Epoch Time: 0.40s | Spearman@80: 0.4088 | Kendall@80: 0.2784
