Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  108.51781606674194  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 1/150 | Train Loss: 0.0827 | Epoch Time: 3.73s | Spearman@80: -0.0485 | Kendall@80: -0.0251
Epoch 2/150 | Train Loss: 0.5303 | Epoch Time: 0.01s | Spearman@80: -0.0494 | Kendall@80: -0.0258
Epoch 3/150 | Train Loss: 0.2359 | Epoch Time: 0.01s | Spearman@80: -0.0517 | Kendall@80: -0.0274
Epoch 4/150 | Train Loss: 0.2046 | Epoch Time: 0.01s | Spearman@80: -0.0490 | Kendall@80: -0.0251
Epoch 5/150 | Train Loss: 0.0508 | Epoch Time: 0.01s | Spearman@80: 0.0632 | Kendall@80: 0.0354
Epoch 6/150 | Train Loss: 0.1680 | Epoch Time: 0.01s | Spearman@80: -0.0499 | Kendall@80: -0.0254
Epoch 7/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0497 | Kendall@80: -0.0251
Epoch 8/150 | Train Loss: 0.1774 | Epoch Time: 0.01s | Spearman@80: -0.0493 | Kendall@80: -0.0258
Epoch 9/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0489 | Kendall@80: 0.0261
Epoch 10/150 | Train Loss: 0.1889 | Epoch Time: 0.01s | Spearman@80: 0.0497 | Kendall@80: 0.0254
Epoch 11/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0497 | Kendall@80: 0.0251
Epoch 12/150 | Train Loss: 0.1157 | Epoch Time: 0.01s | Spearman@80: -0.0484 | Kendall@80: -0.0248
Epoch 13/150 | Train Loss: 0.0956 | Epoch Time: 0.01s | Spearman@80: 0.0345 | Kendall@80: 0.0275
Epoch 14/150 | Train Loss: 0.0638 | Epoch Time: 0.01s | Spearman@80: 0.0492 | Kendall@80: 0.0254
Epoch 15/150 | Train Loss: 0.1286 | Epoch Time: 0.01s | Spearman@80: -0.0925 | Kendall@80: -0.0594
Epoch 16/150 | Train Loss: 0.0729 | Epoch Time: 0.01s | Spearman@80: -0.0485 | Kendall@80: -0.0251
Epoch 17/150 | Train Loss: 0.0493 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 18/150 | Train Loss: 0.1477 | Epoch Time: 0.01s | Spearman@80: -0.0485 | Kendall@80: -0.0251
Epoch 19/150 | Train Loss: 0.0475 | Epoch Time: 0.01s | Spearman@80: 0.0495 | Kendall@80: 0.0245
Epoch 20/150 | Train Loss: 0.0467 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 21/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 22/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 23/150 | Train Loss: 0.1287 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 24/150 | Train Loss: 0.1620 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 25/150 | Train Loss: 0.0053 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 26/150 | Train Loss: 0.0593 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 27/150 | Train Loss: 0.0329 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 28/150 | Train Loss: 0.1269 | Epoch Time: 0.01s | Spearman@80: 0.0480 | Kendall@80: 0.0238
Epoch 29/150 | Train Loss: 0.1331 | Epoch Time: 0.01s | Spearman@80: 0.0632 | Kendall@80: 0.0388
Epoch 30/150 | Train Loss: 0.0442 | Epoch Time: 0.01s | Spearman@80: -0.0490 | Kendall@80: -0.0251
Epoch 31/150 | Train Loss: 0.1188 | Epoch Time: 0.01s | Spearman@80: 0.0263 | Kendall@80: 0.0082
Epoch 32/150 | Train Loss: 0.1109 | Epoch Time: 0.01s | Spearman@80: 0.0500 | Kendall@80: 0.0258
Epoch 33/150 | Train Loss: 0.0226 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 34/150 | Train Loss: 0.0552 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 35/150 | Train Loss: 0.0540 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 36/150 | Train Loss: 0.0130 | Epoch Time: 0.01s | Spearman@80: -0.0485 | Kendall@80: -0.0251
Epoch 37/150 | Train Loss: 0.1026 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 38/150 | Train Loss: 0.0017 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 39/150 | Train Loss: 0.1291 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 40/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 41/150 | Train Loss: 0.0623 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 42/150 | Train Loss: 0.0253 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 43/150 | Train Loss: 0.0974 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 44/150 | Train Loss: 0.1411 | Epoch Time: 0.01s | Spearman@80: -0.0485 | Kendall@80: -0.0251
Epoch 45/150 | Train Loss: 0.1404 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 46/150 | Train Loss: 0.1291 | Epoch Time: 0.01s | Spearman@80: -0.0449 | Kendall@80: -0.0245
Epoch 47/150 | Train Loss: 0.1094 | Epoch Time: 0.01s | Spearman@80: -0.0537 | Kendall@80: -0.0264
Epoch 48/150 | Train Loss: 0.0468 | Epoch Time: 0.01s | Spearman@80: -0.1114 | Kendall@80: -0.0682
Epoch 49/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0364 | Kendall@80: -0.0205
Epoch 50/150 | Train Loss: 0.0288 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 51/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 52/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 53/150 | Train Loss: 0.1712 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 54/150 | Train Loss: 0.1477 | Epoch Time: 0.01s | Spearman@80: -0.0355 | Kendall@80: -0.0114
Epoch 55/150 | Train Loss: 0.1451 | Epoch Time: 0.01s | Spearman@80: 0.1054 | Kendall@80: 0.0629
Epoch 56/150 | Train Loss: 0.1765 | Epoch Time: 0.01s | Spearman@80: 0.0819 | Kendall@80: 0.0538
Epoch 57/150 | Train Loss: 0.0023 | Epoch Time: 0.01s | Spearman@80: -0.0484 | Kendall@80: -0.0251
Epoch 58/150 | Train Loss: 0.0207 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 59/150 | Train Loss: 0.0308 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 60/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 61/150 | Train Loss: 0.1315 | Epoch Time: 0.01s | Spearman@80: -0.0571 | Kendall@80: -0.0316
Epoch 62/150 | Train Loss: 0.0219 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 63/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0484 | Kendall@80: -0.0251
Epoch 64/150 | Train Loss: 0.0439 | Epoch Time: 0.01s | Spearman@80: -0.0485 | Kendall@80: -0.0251
Epoch 65/150 | Train Loss: 0.0175 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 66/150 | Train Loss: 0.0322 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 67/150 | Train Loss: 0.0659 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 68/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 69/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 70/150 | Train Loss: 0.0325 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 71/150 | Train Loss: 0.0501 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 72/150 | Train Loss: 0.0779 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 73/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 74/150 | Train Loss: 0.0318 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 75/150 | Train Loss: 0.0055 | Epoch Time: 0.01s | Spearman@80: -0.0483 | Kendall@80: -0.0245
Epoch 76/150 | Train Loss: 0.1331 | Epoch Time: 0.01s | Spearman@80: 0.0434 | Kendall@80: 0.0329
Epoch 77/150 | Train Loss: 0.0036 | Epoch Time: 0.01s | Spearman@80: 0.1198 | Kendall@80: 0.0793
Epoch 78/150 | Train Loss: 0.1297 | Epoch Time: 0.01s | Spearman@80: 0.1146 | Kendall@80: 0.0786
Epoch 79/150 | Train Loss: 0.1401 | Epoch Time: 0.01s | Spearman@80: 0.0765 | Kendall@80: 0.0499
Epoch 80/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.1094 | Kendall@80: 0.0714
Epoch 81/150 | Train Loss: 0.1276 | Epoch Time: 0.01s | Spearman@80: 0.0914 | Kendall@80: 0.0571
Epoch 82/150 | Train Loss: 0.0540 | Epoch Time: 0.01s | Spearman@80: 0.1085 | Kendall@80: 0.0682
Epoch 83/150 | Train Loss: 0.0356 | Epoch Time: 0.01s | Spearman@80: 0.1030 | Kendall@80: 0.0649
Epoch 84/150 | Train Loss: 0.1274 | Epoch Time: 0.01s | Spearman@80: 0.0551 | Kendall@80: 0.0316
Epoch 85/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0782 | Kendall@80: 0.0499
Epoch 86/150 | Train Loss: 0.0408 | Epoch Time: 0.01s | Spearman@80: 0.0971 | Kendall@80: 0.0656
Epoch 87/150 | Train Loss: 0.1220 | Epoch Time: 0.01s | Spearman@80: 0.1256 | Kendall@80: 0.0806
Epoch 88/150 | Train Loss: 0.0353 | Epoch Time: 0.01s | Spearman@80: 0.0989 | Kendall@80: 0.0675
Epoch 89/150 | Train Loss: 0.1199 | Epoch Time: 0.01s | Spearman@80: 0.1178 | Kendall@80: 0.0838
Epoch 90/150 | Train Loss: 0.1064 | Epoch Time: 0.01s | Spearman@80: 0.1476 | Kendall@80: 0.1001
Epoch 91/150 | Train Loss: 0.1180 | Epoch Time: 0.01s | Spearman@80: 0.1610 | Kendall@80: 0.1138
Epoch 92/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.1393 | Kendall@80: 0.0943
Epoch 93/150 | Train Loss: 0.1010 | Epoch Time: 0.01s | Spearman@80: 0.0988 | Kendall@80: 0.0734
Epoch 94/150 | Train Loss: 0.0482 | Epoch Time: 0.01s | Spearman@80: 0.0572 | Kendall@80: 0.0303
Epoch 95/150 | Train Loss: 0.0196 | Epoch Time: 0.01s | Spearman@80: 0.0667 | Kendall@80: 0.0408
Epoch 96/150 | Train Loss: 0.0375 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 97/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 98/150 | Train Loss: 0.0000 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 99/150 | Train Loss: 0.0509 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
Epoch 100/150 | Train Loss: 0.0974 | Epoch Time: 0.01s | Spearman@80: 0.0483 | Kendall@80: 0.0245
