Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  138.98780965805054  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 49/150 | Train Loss: 0.0158 | Epoch Time: 0.04s | Spearman@80: 0.1632 | Kendall@80: 0.1044
Epoch 50/150 | Train Loss: 0.0239 | Epoch Time: 0.04s | Spearman@80: 0.1924 | Kendall@80: 0.1241
Epoch 51/150 | Train Loss: 0.0333 | Epoch Time: 0.04s | Spearman@80: 0.2197 | Kendall@80: 0.1418
Epoch 52/150 | Train Loss: 0.0061 | Epoch Time: 0.04s | Spearman@80: 0.2430 | Kendall@80: 0.1614
Epoch 53/150 | Train Loss: 0.0203 | Epoch Time: 0.04s | Spearman@80: 0.2703 | Kendall@80: 0.1823
Epoch 54/150 | Train Loss: 0.0152 | Epoch Time: 0.04s | Spearman@80: 0.2960 | Kendall@80: 0.2032
Epoch 55/150 | Train Loss: 0.0029 | Epoch Time: 0.04s | Spearman@80: 0.3176 | Kendall@80: 0.2171
Epoch 56/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.3230 | Kendall@80: 0.2196
Epoch 57/150 | Train Loss: 0.0045 | Epoch Time: 0.04s | Spearman@80: 0.3265 | Kendall@80: 0.2190
Epoch 58/150 | Train Loss: 0.0166 | Epoch Time: 0.04s | Spearman@80: 0.3289 | Kendall@80: 0.2171
Epoch 59/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.3265 | Kendall@80: 0.2139
Epoch 60/150 | Train Loss: 0.0083 | Epoch Time: 0.04s | Spearman@80: 0.3298 | Kendall@80: 0.2127
Epoch 61/150 | Train Loss: 0.0036 | Epoch Time: 0.04s | Spearman@80: 0.3269 | Kendall@80: 0.2095
Epoch 62/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.3205 | Kendall@80: 0.2063
Epoch 63/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.3166 | Kendall@80: 0.2038
Epoch 64/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.3146 | Kendall@80: 0.2006
Epoch 65/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.3110 | Kendall@80: 0.1981
Epoch 66/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.3112 | Kendall@80: 0.1994
Epoch 67/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.3117 | Kendall@80: 0.2000
