normalizing task:  Amoeba.json
normalizing task:  PNAS_fix-w-d.json
normalizing task:  ENAS_fix-w-d.json
normalizing task:  NASNet.json
normalizing task:  DARTS.json
normalizing task:  ENAS.json
normalizing task:  PNAS.json
normalizing task:  DARTS_lr-wd.json
normalizing task:  DARTS_fix-w-d.json
Epoch 49/150 | Train Loss: 0.0053 | Epoch Time: 0.09s | Spearman@80: 0.2910 | Kendall@80: 0.1921
Epoch 50/150 | Train Loss: 0.0060 | Epoch Time: 0.09s | Spearman@80: 0.2926 | Kendall@80: 0.1928
Epoch 51/150 | Train Loss: 0.0018 | Epoch Time: 0.09s | Spearman@80: 0.2824 | Kendall@80: 0.1852
Epoch 52/150 | Train Loss: 0.0076 | Epoch Time: 0.09s | Spearman@80: 0.3380 | Kendall@80: 0.2321
Epoch 53/150 | Train Loss: 0.0014 | Epoch Time: 0.09s | Spearman@80: 0.4000 | Kendall@80: 0.2727
Epoch 54/150 | Train Loss: 0.0012 | Epoch Time: 0.09s | Spearman@80: 0.4127 | Kendall@80: 0.2822
Epoch 55/150 | Train Loss: 0.0060 | Epoch Time: 0.09s | Spearman@80: 0.3915 | Kendall@80: 0.2651
Epoch 56/150 | Train Loss: 0.0005 | Epoch Time: 0.09s | Spearman@80: 0.3535 | Kendall@80: 0.2391
Epoch 57/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3064 | Kendall@80: 0.2061
Epoch 58/150 | Train Loss: 0.0023 | Epoch Time: 0.09s | Spearman@80: 0.3054 | Kendall@80: 0.2055
Epoch 59/150 | Train Loss: 0.0009 | Epoch Time: 0.09s | Spearman@80: 0.3099 | Kendall@80: 0.2099
Epoch 60/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3094 | Kendall@80: 0.2093
Epoch 61/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3099 | Kendall@80: 0.2112
Epoch 62/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3142 | Kendall@80: 0.2131
Epoch 63/150 | Train Loss: 0.0014 | Epoch Time: 0.09s | Spearman@80: 0.3181 | Kendall@80: 0.2143
Epoch 64/150 | Train Loss: 0.0011 | Epoch Time: 0.09s | Spearman@80: 0.3171 | Kendall@80: 0.2137
Epoch 65/150 | Train Loss: 0.0006 | Epoch Time: 0.09s | Spearman@80: 0.3217 | Kendall@80: 0.2175
Epoch 66/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3328 | Kendall@80: 0.2251
Epoch 67/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3427 | Kendall@80: 0.2346
Epoch 68/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3570 | Kendall@80: 0.2429
Epoch 69/150 | Train Loss: 0.0009 | Epoch Time: 0.09s | Spearman@80: 0.3395 | Kendall@80: 0.2308
Epoch 70/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3276 | Kendall@80: 0.2194
Epoch 71/150 | Train Loss: 0.0039 | Epoch Time: 0.09s | Spearman@80: 0.3161 | Kendall@80: 0.2150
Epoch 72/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3106 | Kendall@80: 0.2099
Epoch 73/150 | Train Loss: 0.0026 | Epoch Time: 0.09s | Spearman@80: 0.3196 | Kendall@80: 0.2169
Epoch 74/150 | Train Loss: 0.0012 | Epoch Time: 0.09s | Spearman@80: 0.3848 | Kendall@80: 0.2613
Epoch 75/150 | Train Loss: 0.0025 | Epoch Time: 0.09s | Spearman@80: 0.4048 | Kendall@80: 0.2752
Epoch 76/150 | Train Loss: 0.0057 | Epoch Time: 0.09s | Spearman@80: 0.4080 | Kendall@80: 0.2771
Epoch 77/150 | Train Loss: 0.0026 | Epoch Time: 0.09s | Spearman@80: 0.4039 | Kendall@80: 0.2765
Epoch 78/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4045 | Kendall@80: 0.2771
Epoch 79/150 | Train Loss: 0.0025 | Epoch Time: 0.09s | Spearman@80: 0.3839 | Kendall@80: 0.2625
Epoch 80/150 | Train Loss: 0.0002 | Epoch Time: 0.09s | Spearman@80: 0.3643 | Kendall@80: 0.2486
Epoch 81/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3452 | Kendall@80: 0.2327
Epoch 82/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3245 | Kendall@80: 0.2194
Epoch 83/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3107 | Kendall@80: 0.2137
Epoch 84/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3020 | Kendall@80: 0.2086
Epoch 85/150 | Train Loss: 0.0035 | Epoch Time: 0.09s | Spearman@80: 0.3062 | Kendall@80: 0.2099
Epoch 86/150 | Train Loss: 0.0076 | Epoch Time: 0.09s | Spearman@80: 0.3180 | Kendall@80: 0.2207
Epoch 87/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3375 | Kendall@80: 0.2283
Epoch 88/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3583 | Kendall@80: 0.2403
Epoch 89/150 | Train Loss: 0.0005 | Epoch Time: 0.09s | Spearman@80: 0.3907 | Kendall@80: 0.2676
Epoch 90/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4017 | Kendall@80: 0.2720
Epoch 91/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4216 | Kendall@80: 0.2879
Epoch 92/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4391 | Kendall@80: 0.3012
Epoch 93/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4494 | Kendall@80: 0.3120
Epoch 94/150 | Train Loss: 0.0015 | Epoch Time: 0.09s | Spearman@80: 0.4523 | Kendall@80: 0.3145
Epoch 95/150 | Train Loss: 0.0013 | Epoch Time: 0.09s | Spearman@80: 0.4480 | Kendall@80: 0.3114
Epoch 96/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4407 | Kendall@80: 0.3044
Epoch 97/150 | Train Loss: 0.0035 | Epoch Time: 0.09s | Spearman@80: 0.4366 | Kendall@80: 0.3006
Epoch 98/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4266 | Kendall@80: 0.2949
Epoch 99/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4246 | Kendall@80: 0.2892
Epoch 100/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4260 | Kendall@80: 0.2911
Epoch 101/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4206 | Kendall@80: 0.2854
Epoch 102/150 | Train Loss: 0.0002 | Epoch Time: 0.09s | Spearman@80: 0.4184 | Kendall@80: 0.2866
Epoch 103/150 | Train Loss: 0.0028 | Epoch Time: 0.09s | Spearman@80: 0.4114 | Kendall@80: 0.2854
Epoch 104/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.4003 | Kendall@80: 0.2771
Epoch 105/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3951 | Kendall@80: 0.2733
Epoch 106/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3869 | Kendall@80: 0.2619
Epoch 107/150 | Train Loss: 0.0029 | Epoch Time: 0.09s | Spearman@80: 0.3898 | Kendall@80: 0.2657
Epoch 108/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3901 | Kendall@80: 0.2651
Epoch 109/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3880 | Kendall@80: 0.2638
Epoch 110/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3876 | Kendall@80: 0.2638
Epoch 111/150 | Train Loss: 0.0004 | Epoch Time: 0.09s | Spearman@80: 0.3880 | Kendall@80: 0.2638
Epoch 112/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3894 | Kendall@80: 0.2651
Epoch 113/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3872 | Kendall@80: 0.2644
Epoch 114/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3887 | Kendall@80: 0.2657
Epoch 115/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3892 | Kendall@80: 0.2663
Epoch 116/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3884 | Kendall@80: 0.2644
Epoch 117/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3857 | Kendall@80: 0.2625
Epoch 118/150 | Train Loss: 0.0016 | Epoch Time: 0.09s | Spearman@80: 0.3876 | Kendall@80: 0.2638
Epoch 119/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3881 | Kendall@80: 0.2625
Epoch 120/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3891 | Kendall@80: 0.2644
Epoch 121/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3878 | Kendall@80: 0.2638
Epoch 122/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3852 | Kendall@80: 0.2619
Epoch 123/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3861 | Kendall@80: 0.2625
Epoch 124/150 | Train Loss: 0.0024 | Epoch Time: 0.09s | Spearman@80: 0.3902 | Kendall@80: 0.2657
Epoch 125/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3901 | Kendall@80: 0.2657
Epoch 126/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3934 | Kendall@80: 0.2682
Epoch 127/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3927 | Kendall@80: 0.2682
Epoch 128/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3934 | Kendall@80: 0.2689
Epoch 129/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3935 | Kendall@80: 0.2689
Epoch 130/150 | Train Loss: 0.0000 | Epoch Time: 0.09s | Spearman@80: 0.3957 | Kendall@80: 0.2695
Epoch 131/150 | Train Loss: 0.0003 | Epoch Time: 0.09s | Spearman@80: 0.3951 | Kendall@80: 0.2695
