normalizing task:  Amoeba.json
normalizing task:  PNAS_fix-w-d.json
normalizing task:  ENAS_fix-w-d.json
normalizing task:  NASNet.json
normalizing task:  DARTS.json
normalizing task:  ENAS.json
normalizing task:  PNAS.json
normalizing task:  DARTS_lr-wd.json
normalizing task:  DARTS_fix-w-d.json
Epoch 1/150 | Train Loss: 0.0998 | Epoch Time: 0.91s | Spearman@80: 0.3169 | Kendall@80: 0.2257
Epoch 2/150 | Train Loss: 0.0949 | Epoch Time: 0.06s | Spearman@80: 0.3237 | Kendall@80: 0.2302
Epoch 3/150 | Train Loss: 0.0926 | Epoch Time: 0.06s | Spearman@80: 0.3055 | Kendall@80: 0.2194
Epoch 4/150 | Train Loss: 0.0868 | Epoch Time: 0.06s | Spearman@80: 0.3065 | Kendall@80: 0.2213
Epoch 5/150 | Train Loss: 0.0862 | Epoch Time: 0.06s | Spearman@80: 0.3071 | Kendall@80: 0.2213
Epoch 6/150 | Train Loss: 0.0783 | Epoch Time: 0.07s | Spearman@80: 0.3065 | Kendall@80: 0.2207
Epoch 7/150 | Train Loss: 0.0760 | Epoch Time: 0.06s | Spearman@80: 0.3136 | Kendall@80: 0.2251
Epoch 8/150 | Train Loss: 0.0621 | Epoch Time: 0.06s | Spearman@80: 0.3212 | Kendall@80: 0.2296
Epoch 9/150 | Train Loss: 0.0580 | Epoch Time: 0.06s | Spearman@80: 0.3327 | Kendall@80: 0.2359
Epoch 10/150 | Train Loss: 0.0478 | Epoch Time: 0.06s | Spearman@80: 0.3399 | Kendall@80: 0.2397
Epoch 11/150 | Train Loss: 0.0397 | Epoch Time: 0.06s | Spearman@80: 0.3642 | Kendall@80: 0.2543
Epoch 12/150 | Train Loss: 0.0356 | Epoch Time: 0.06s | Spearman@80: 0.3764 | Kendall@80: 0.2568
Epoch 13/150 | Train Loss: 0.0362 | Epoch Time: 0.06s | Spearman@80: 0.3914 | Kendall@80: 0.2651
Epoch 14/150 | Train Loss: 0.0378 | Epoch Time: 0.07s | Spearman@80: 0.3886 | Kendall@80: 0.2606
Epoch 15/150 | Train Loss: 0.0371 | Epoch Time: 0.06s | Spearman@80: 0.3845 | Kendall@80: 0.2581
Epoch 16/150 | Train Loss: 0.0230 | Epoch Time: 0.06s | Spearman@80: 0.3854 | Kendall@80: 0.2606
Epoch 17/150 | Train Loss: 0.0271 | Epoch Time: 0.06s | Spearman@80: 0.3903 | Kendall@80: 0.2632
Epoch 18/150 | Train Loss: 0.0255 | Epoch Time: 0.06s | Spearman@80: 0.3726 | Kendall@80: 0.2492
Epoch 19/150 | Train Loss: 0.0299 | Epoch Time: 0.06s | Spearman@80: 0.3520 | Kendall@80: 0.2384
Epoch 20/150 | Train Loss: 0.0296 | Epoch Time: 0.06s | Spearman@80: 0.3329 | Kendall@80: 0.2283
Epoch 21/150 | Train Loss: 0.0170 | Epoch Time: 0.06s | Spearman@80: 0.3252 | Kendall@80: 0.2213
Epoch 22/150 | Train Loss: 0.0229 | Epoch Time: 0.07s | Spearman@80: 0.3190 | Kendall@80: 0.2169
Epoch 23/150 | Train Loss: 0.0231 | Epoch Time: 0.06s | Spearman@80: 0.3092 | Kendall@80: 0.2124
Epoch 24/150 | Train Loss: 0.0271 | Epoch Time: 0.07s | Spearman@80: 0.2908 | Kendall@80: 0.1978
Epoch 25/150 | Train Loss: 0.0242 | Epoch Time: 0.06s | Spearman@80: 0.2814 | Kendall@80: 0.1896
Epoch 26/150 | Train Loss: 0.0290 | Epoch Time: 0.06s | Spearman@80: 0.3078 | Kendall@80: 0.2093
Epoch 27/150 | Train Loss: 0.0239 | Epoch Time: 0.06s | Spearman@80: 0.3373 | Kendall@80: 0.2321
Epoch 28/150 | Train Loss: 0.0182 | Epoch Time: 0.06s | Spearman@80: 0.3620 | Kendall@80: 0.2505
Epoch 29/150 | Train Loss: 0.0166 | Epoch Time: 0.06s | Spearman@80: 0.3648 | Kendall@80: 0.2543
Epoch 30/150 | Train Loss: 0.0271 | Epoch Time: 0.07s | Spearman@80: 0.3353 | Kendall@80: 0.2327
Epoch 31/150 | Train Loss: 0.0107 | Epoch Time: 0.06s | Spearman@80: 0.2967 | Kendall@80: 0.2029
Epoch 32/150 | Train Loss: 0.0048 | Epoch Time: 0.06s | Spearman@80: 0.2680 | Kendall@80: 0.1826
Epoch 33/150 | Train Loss: 0.0072 | Epoch Time: 0.06s | Spearman@80: 0.2436 | Kendall@80: 0.1649
Epoch 34/150 | Train Loss: 0.0179 | Epoch Time: 0.06s | Spearman@80: 0.2757 | Kendall@80: 0.1826
Epoch 35/150 | Train Loss: 0.0091 | Epoch Time: 0.06s | Spearman@80: 0.3013 | Kendall@80: 0.2048
Epoch 36/150 | Train Loss: 0.0025 | Epoch Time: 0.06s | Spearman@80: 0.3030 | Kendall@80: 0.2074
Epoch 37/150 | Train Loss: 0.0106 | Epoch Time: 0.06s | Spearman@80: 0.3139 | Kendall@80: 0.2118
Epoch 38/150 | Train Loss: 0.0117 | Epoch Time: 0.06s | Spearman@80: 0.3192 | Kendall@80: 0.2131
Epoch 39/150 | Train Loss: 0.0080 | Epoch Time: 0.06s | Spearman@80: 0.3237 | Kendall@80: 0.2131
Epoch 40/150 | Train Loss: 0.0088 | Epoch Time: 0.06s | Spearman@80: 0.3240 | Kendall@80: 0.2150
Epoch 41/150 | Train Loss: 0.0115 | Epoch Time: 0.06s | Spearman@80: 0.3147 | Kendall@80: 0.2093
Epoch 42/150 | Train Loss: 0.0131 | Epoch Time: 0.06s | Spearman@80: 0.3127 | Kendall@80: 0.2118
Epoch 43/150 | Train Loss: 0.0066 | Epoch Time: 0.06s | Spearman@80: 0.2879 | Kendall@80: 0.1966
Epoch 44/150 | Train Loss: 0.0067 | Epoch Time: 0.06s | Spearman@80: 0.2736 | Kendall@80: 0.1845
Epoch 45/150 | Train Loss: 0.0021 | Epoch Time: 0.06s | Spearman@80: 0.2593 | Kendall@80: 0.1731
Epoch 46/150 | Train Loss: 0.0045 | Epoch Time: 0.06s | Spearman@80: 0.2327 | Kendall@80: 0.1503
Epoch 47/150 | Train Loss: 0.0039 | Epoch Time: 0.06s | Spearman@80: 0.2222 | Kendall@80: 0.1439
Epoch 48/150 | Train Loss: 0.0151 | Epoch Time: 0.06s | Spearman@80: 0.2321 | Kendall@80: 0.1516
Epoch 49/150 | Train Loss: 0.0026 | Epoch Time: 0.06s | Spearman@80: 0.2515 | Kendall@80: 0.1699
Epoch 50/150 | Train Loss: 0.0049 | Epoch Time: 0.06s | Spearman@80: 0.2670 | Kendall@80: 0.1795
Epoch 51/150 | Train Loss: 0.0015 | Epoch Time: 0.06s | Spearman@80: 0.2726 | Kendall@80: 0.1864
Epoch 52/150 | Train Loss: 0.0086 | Epoch Time: 0.06s | Spearman@80: 0.2723 | Kendall@80: 0.1839
Epoch 53/150 | Train Loss: 0.0001 | Epoch Time: 0.06s | Spearman@80: 0.2710 | Kendall@80: 0.1826
Epoch 54/150 | Train Loss: 0.0036 | Epoch Time: 0.06s | Spearman@80: 0.2723 | Kendall@80: 0.1833
Epoch 55/150 | Train Loss: 0.0002 | Epoch Time: 0.06s | Spearman@80: 0.2628 | Kendall@80: 0.1750
Epoch 56/150 | Train Loss: 0.0018 | Epoch Time: 0.06s | Spearman@80: 0.2460 | Kendall@80: 0.1623
Epoch 57/150 | Train Loss: 0.0022 | Epoch Time: 0.06s | Spearman@80: 0.2490 | Kendall@80: 0.1642
Epoch 58/150 | Train Loss: 0.0000 | Epoch Time: 0.06s | Spearman@80: 0.2463 | Kendall@80: 0.1611
Epoch 59/150 | Train Loss: 0.0000 | Epoch Time: 0.06s | Spearman@80: 0.2466 | Kendall@80: 0.1611
Epoch 60/150 | Train Loss: 0.0003 | Epoch Time: 0.06s | Spearman@80: 0.2450 | Kendall@80: 0.1611
Epoch 61/150 | Train Loss: 0.0000 | Epoch Time: 0.06s | Spearman@80: 0.2418 | Kendall@80: 0.1585
Epoch 62/150 | Train Loss: 0.0000 | Epoch Time: 0.06s | Spearman@80: 0.2437 | Kendall@80: 0.1598
Epoch 63/150 | Train Loss: 0.0000 | Epoch Time: 0.06s | Spearman@80: 0.2431 | Kendall@80: 0.1566
Epoch 64/150 | Train Loss: 0.0015 | Epoch Time: 0.07s | Spearman@80: 0.2464 | Kendall@80: 0.1598
