Loading Files for NASBench101...
Loading dataset from file... This may take a few minutes...
Loaded dataset in 40 seconds
Loaded files in:  62.6104519367218  seconds
Normalizing ZCP dict
Epoch 1/150 | Train Loss: 0.0982 | Epoch Time: 1.44s | Spearman@80: 0.6815 | Kendall@80: 0.4810
Epoch 2/150 | Train Loss: 0.0631 | Epoch Time: 0.43s | Spearman@80: 0.7431 | Kendall@80: 0.5418
Epoch 3/150 | Train Loss: 0.0615 | Epoch Time: 0.43s | Spearman@80: 0.7623 | Kendall@80: 0.5614
Epoch 4/150 | Train Loss: 0.0524 | Epoch Time: 0.43s | Spearman@80: 0.6457 | Kendall@80: 0.4532
Epoch 5/150 | Train Loss: 0.0630 | Epoch Time: 0.49s | Spearman@80: 0.6708 | Kendall@80: 0.4816
Epoch 6/150 | Train Loss: 0.0510 | Epoch Time: 0.48s | Spearman@80: 0.7353 | Kendall@80: 0.5386
Epoch 7/150 | Train Loss: 0.0563 | Epoch Time: 0.48s | Spearman@80: 0.7148 | Kendall@80: 0.5228
Epoch 8/150 | Train Loss: 0.0466 | Epoch Time: 0.48s | Spearman@80: 0.7694 | Kendall@80: 0.5759
Epoch 9/150 | Train Loss: 0.0487 | Epoch Time: 0.48s | Spearman@80: 0.7763 | Kendall@80: 0.5804
Epoch 10/150 | Train Loss: 0.0348 | Epoch Time: 0.48s | Spearman@80: 0.7093 | Kendall@80: 0.5171
Epoch 11/150 | Train Loss: 0.0374 | Epoch Time: 0.49s | Spearman@80: 0.6729 | Kendall@80: 0.4924
Epoch 12/150 | Train Loss: 0.0459 | Epoch Time: 0.48s | Spearman@80: 0.7866 | Kendall@80: 0.5854
Epoch 13/150 | Train Loss: 0.0447 | Epoch Time: 0.48s | Spearman@80: 0.7336 | Kendall@80: 0.5386
Epoch 14/150 | Train Loss: 0.0309 | Epoch Time: 0.49s | Spearman@80: 0.7668 | Kendall@80: 0.5722
Epoch 15/150 | Train Loss: 0.0411 | Epoch Time: 0.48s | Spearman@80: 0.7920 | Kendall@80: 0.5962
Epoch 16/150 | Train Loss: 0.0350 | Epoch Time: 0.48s | Spearman@80: 0.7877 | Kendall@80: 0.5930
Epoch 17/150 | Train Loss: 0.0335 | Epoch Time: 0.48s | Spearman@80: 0.7752 | Kendall@80: 0.5772
Epoch 18/150 | Train Loss: 0.0483 | Epoch Time: 0.48s | Spearman@80: 0.7897 | Kendall@80: 0.5886
Epoch 19/150 | Train Loss: 0.0522 | Epoch Time: 0.48s | Spearman@80: 0.7768 | Kendall@80: 0.5816
Epoch 20/150 | Train Loss: 0.0438 | Epoch Time: 0.48s | Spearman@80: 0.7705 | Kendall@80: 0.5753
Epoch 21/150 | Train Loss: 0.0336 | Epoch Time: 0.48s | Spearman@80: 0.7771 | Kendall@80: 0.5791
Epoch 22/150 | Train Loss: 0.0285 | Epoch Time: 0.49s | Spearman@80: 0.8056 | Kendall@80: 0.6038
Epoch 23/150 | Train Loss: 0.0334 | Epoch Time: 0.49s | Spearman@80: 0.7925 | Kendall@80: 0.5899
Epoch 24/150 | Train Loss: 0.0402 | Epoch Time: 0.49s | Spearman@80: 0.8003 | Kendall@80: 0.6025
Epoch 25/150 | Train Loss: 0.0301 | Epoch Time: 0.50s | Spearman@80: 0.8036 | Kendall@80: 0.6051
Epoch 26/150 | Train Loss: 0.0361 | Epoch Time: 0.49s | Spearman@80: 0.7657 | Kendall@80: 0.5652
Epoch 27/150 | Train Loss: 0.0495 | Epoch Time: 0.49s | Spearman@80: 0.7560 | Kendall@80: 0.5620
Epoch 28/150 | Train Loss: 0.0333 | Epoch Time: 0.49s | Spearman@80: 0.7838 | Kendall@80: 0.5829
Epoch 29/150 | Train Loss: 0.0376 | Epoch Time: 0.48s | Spearman@80: 0.7814 | Kendall@80: 0.5797
Epoch 30/150 | Train Loss: 0.0324 | Epoch Time: 0.49s | Spearman@80: 0.7862 | Kendall@80: 0.5905
Epoch 31/150 | Train Loss: 0.0396 | Epoch Time: 0.49s | Spearman@80: 0.7953 | Kendall@80: 0.5949
Epoch 32/150 | Train Loss: 0.0398 | Epoch Time: 0.49s | Spearman@80: 0.7709 | Kendall@80: 0.5791
Epoch 33/150 | Train Loss: 0.0362 | Epoch Time: 0.49s | Spearman@80: 0.7591 | Kendall@80: 0.5677
Epoch 34/150 | Train Loss: 0.0279 | Epoch Time: 0.49s | Spearman@80: 0.7700 | Kendall@80: 0.5709
Epoch 35/150 | Train Loss: 0.0344 | Epoch Time: 0.49s | Spearman@80: 0.7991 | Kendall@80: 0.6006
Epoch 36/150 | Train Loss: 0.0401 | Epoch Time: 0.49s | Spearman@80: 0.7662 | Kendall@80: 0.5582
Epoch 37/150 | Train Loss: 0.0297 | Epoch Time: 0.49s | Spearman@80: 0.7482 | Kendall@80: 0.5494
Epoch 38/150 | Train Loss: 0.0358 | Epoch Time: 0.49s | Spearman@80: 0.7915 | Kendall@80: 0.5873
Epoch 39/150 | Train Loss: 0.0441 | Epoch Time: 0.49s | Spearman@80: 0.8288 | Kendall@80: 0.6278
Epoch 40/150 | Train Loss: 0.0255 | Epoch Time: 0.49s | Spearman@80: 0.7646 | Kendall@80: 0.5570
Epoch 41/150 | Train Loss: 0.0349 | Epoch Time: 0.50s | Spearman@80: 0.8030 | Kendall@80: 0.6038
Epoch 42/150 | Train Loss: 0.0357 | Epoch Time: 0.49s | Spearman@80: 0.8440 | Kendall@80: 0.6506
Epoch 43/150 | Train Loss: 0.0262 | Epoch Time: 0.49s | Spearman@80: 0.7837 | Kendall@80: 0.5766
Epoch 44/150 | Train Loss: 0.0293 | Epoch Time: 0.49s | Spearman@80: 0.7766 | Kendall@80: 0.5696
