Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  72.5662133693695  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 1/150 | Train Loss: 0.0996 | Epoch Time: 1.14s | Spearman@80: 0.4471 | Kendall@80: 0.3086
Epoch 2/150 | Train Loss: 0.0953 | Epoch Time: 0.14s | Spearman@80: 0.4034 | Kendall@80: 0.2745
Epoch 3/150 | Train Loss: 0.0927 | Epoch Time: 0.13s | Spearman@80: 0.4027 | Kendall@80: 0.2726
Epoch 4/150 | Train Loss: 0.0880 | Epoch Time: 0.13s | Spearman@80: 0.4250 | Kendall@80: 0.2961
Epoch 5/150 | Train Loss: 0.0760 | Epoch Time: 0.13s | Spearman@80: 0.4358 | Kendall@80: 0.3033
Epoch 6/150 | Train Loss: 0.0724 | Epoch Time: 0.14s | Spearman@80: 0.4593 | Kendall@80: 0.3179
Epoch 7/150 | Train Loss: 0.0922 | Epoch Time: 0.13s | Spearman@80: 0.5018 | Kendall@80: 0.3454
Epoch 8/150 | Train Loss: 0.0742 | Epoch Time: 0.13s | Spearman@80: 0.5243 | Kendall@80: 0.3630
Epoch 9/150 | Train Loss: 0.0751 | Epoch Time: 0.13s | Spearman@80: 0.5358 | Kendall@80: 0.3733
Epoch 10/150 | Train Loss: 0.0654 | Epoch Time: 0.14s | Spearman@80: 0.6150 | Kendall@80: 0.4392
Epoch 11/150 | Train Loss: 0.0528 | Epoch Time: 0.13s | Spearman@80: 0.8059 | Kendall@80: 0.6012
Epoch 12/150 | Train Loss: 0.0569 | Epoch Time: 0.13s | Spearman@80: 0.8232 | Kendall@80: 0.6196
Epoch 13/150 | Train Loss: 0.0542 | Epoch Time: 0.14s | Spearman@80: 0.8337 | Kendall@80: 0.6286
Epoch 14/150 | Train Loss: 0.0482 | Epoch Time: 0.13s | Spearman@80: 0.8626 | Kendall@80: 0.6641
Epoch 15/150 | Train Loss: 0.0537 | Epoch Time: 0.13s | Spearman@80: 0.7858 | Kendall@80: 0.5740
Epoch 16/150 | Train Loss: 0.0321 | Epoch Time: 0.13s | Spearman@80: 0.8860 | Kendall@80: 0.6914
Epoch 17/150 | Train Loss: 0.0317 | Epoch Time: 0.13s | Spearman@80: 0.8016 | Kendall@80: 0.5923
Epoch 18/150 | Train Loss: 0.0370 | Epoch Time: 0.13s | Spearman@80: 0.8481 | Kendall@80: 0.6533
Epoch 19/150 | Train Loss: 0.0289 | Epoch Time: 0.13s | Spearman@80: 0.8437 | Kendall@80: 0.6463
Epoch 20/150 | Train Loss: 0.0210 | Epoch Time: 0.13s | Spearman@80: 0.8697 | Kendall@80: 0.6762
Epoch 21/150 | Train Loss: 0.0229 | Epoch Time: 0.13s | Spearman@80: 0.8890 | Kendall@80: 0.6953
Epoch 22/150 | Train Loss: 0.0298 | Epoch Time: 0.13s | Spearman@80: 0.6178 | Kendall@80: 0.4322
Epoch 23/150 | Train Loss: 0.0212 | Epoch Time: 0.13s | Spearman@80: 0.5420 | Kendall@80: 0.3702
Epoch 24/150 | Train Loss: 0.0250 | Epoch Time: 0.14s | Spearman@80: 0.3180 | Kendall@80: 0.2307
Epoch 25/150 | Train Loss: 0.0629 | Epoch Time: 0.13s | Spearman@80: 0.6705 | Kendall@80: 0.4824
Epoch 26/150 | Train Loss: 0.0574 | Epoch Time: 0.13s | Spearman@80: 0.7774 | Kendall@80: 0.5556
Epoch 27/150 | Train Loss: 0.0383 | Epoch Time: 0.13s | Spearman@80: 0.8582 | Kendall@80: 0.6660
Epoch 28/150 | Train Loss: 0.0337 | Epoch Time: 0.14s | Spearman@80: 0.8742 | Kendall@80: 0.6946
Epoch 29/150 | Train Loss: 0.0286 | Epoch Time: 0.13s | Spearman@80: 0.8768 | Kendall@80: 0.7130
Epoch 30/150 | Train Loss: 0.0438 | Epoch Time: 0.13s | Spearman@80: 0.8909 | Kendall@80: 0.7270
Epoch 31/150 | Train Loss: 0.0459 | Epoch Time: 0.13s | Spearman@80: 0.8918 | Kendall@80: 0.7124
Epoch 32/150 | Train Loss: 0.0331 | Epoch Time: 0.13s | Spearman@80: 0.8862 | Kendall@80: 0.7130
Epoch 33/150 | Train Loss: 0.0391 | Epoch Time: 0.13s | Spearman@80: 0.8385 | Kendall@80: 0.6311
Epoch 34/150 | Train Loss: 0.0278 | Epoch Time: 0.13s | Spearman@80: 0.8952 | Kendall@80: 0.7092
Epoch 35/150 | Train Loss: 0.0352 | Epoch Time: 0.13s | Spearman@80: 0.8615 | Kendall@80: 0.6641
Epoch 36/150 | Train Loss: 0.0382 | Epoch Time: 0.13s | Spearman@80: 0.8936 | Kendall@80: 0.7080
Epoch 37/150 | Train Loss: 0.0273 | Epoch Time: 0.13s | Spearman@80: 0.9036 | Kendall@80: 0.7188
Epoch 38/150 | Train Loss: 0.0209 | Epoch Time: 0.13s | Spearman@80: 0.8971 | Kendall@80: 0.7073
Epoch 39/150 | Train Loss: 0.0192 | Epoch Time: 0.13s | Spearman@80: 0.9029 | Kendall@80: 0.7232
Epoch 40/150 | Train Loss: 0.0336 | Epoch Time: 0.13s | Spearman@80: 0.8992 | Kendall@80: 0.7124
Epoch 41/150 | Train Loss: 0.0157 | Epoch Time: 0.13s | Spearman@80: 0.8732 | Kendall@80: 0.6756
Epoch 42/150 | Train Loss: 0.0234 | Epoch Time: 0.13s | Spearman@80: 0.8557 | Kendall@80: 0.6521
Epoch 43/150 | Train Loss: 0.0117 | Epoch Time: 0.13s | Spearman@80: 0.8885 | Kendall@80: 0.6972
Epoch 44/150 | Train Loss: 0.0192 | Epoch Time: 0.13s | Spearman@80: 0.8933 | Kendall@80: 0.7086
Epoch 45/150 | Train Loss: 0.0113 | Epoch Time: 0.13s | Spearman@80: 0.8988 | Kendall@80: 0.7169
Epoch 46/150 | Train Loss: 0.0241 | Epoch Time: 0.13s | Spearman@80: 0.9152 | Kendall@80: 0.7391
Epoch 47/150 | Train Loss: 0.0201 | Epoch Time: 0.13s | Spearman@80: 0.9121 | Kendall@80: 0.7353
Epoch 48/150 | Train Loss: 0.0141 | Epoch Time: 0.13s | Spearman@80: 0.9063 | Kendall@80: 0.7283
Epoch 49/150 | Train Loss: 0.0238 | Epoch Time: 0.13s | Spearman@80: 0.8894 | Kendall@80: 0.7010
Epoch 50/150 | Train Loss: 0.0096 | Epoch Time: 0.13s | Spearman@80: 0.8863 | Kendall@80: 0.6984
Epoch 51/150 | Train Loss: 0.0145 | Epoch Time: 0.13s | Spearman@80: 0.8170 | Kendall@80: 0.6140
Epoch 52/150 | Train Loss: 0.0162 | Epoch Time: 0.13s | Spearman@80: 0.8850 | Kendall@80: 0.6902
Epoch 53/150 | Train Loss: 0.0418 | Epoch Time: 0.13s | Spearman@80: 0.8896 | Kendall@80: 0.6953
Epoch 54/150 | Train Loss: 0.0159 | Epoch Time: 0.13s | Spearman@80: 0.9011 | Kendall@80: 0.7149
Epoch 55/150 | Train Loss: 0.0121 | Epoch Time: 0.13s | Spearman@80: 0.9023 | Kendall@80: 0.7150
Epoch 56/150 | Train Loss: 0.0180 | Epoch Time: 0.13s | Spearman@80: 0.8899 | Kendall@80: 0.6940
Epoch 57/150 | Train Loss: 0.0153 | Epoch Time: 0.13s | Spearman@80: 0.8811 | Kendall@80: 0.6902
Epoch 58/150 | Train Loss: 0.0216 | Epoch Time: 0.13s | Spearman@80: 0.9060 | Kendall@80: 0.7239
Epoch 59/150 | Train Loss: 0.0264 | Epoch Time: 0.13s | Spearman@80: 0.8973 | Kendall@80: 0.7112
Epoch 60/150 | Train Loss: 0.0110 | Epoch Time: 0.13s | Spearman@80: 0.8997 | Kendall@80: 0.7124
Epoch 61/150 | Train Loss: 0.0113 | Epoch Time: 0.13s | Spearman@80: 0.9105 | Kendall@80: 0.7289
Epoch 62/150 | Train Loss: 0.0081 | Epoch Time: 0.13s | Spearman@80: 0.9082 | Kendall@80: 0.7264
