normalizing task:  Amoeba.json
normalizing task:  PNAS_fix-w-d.json
normalizing task:  ENAS_fix-w-d.json
normalizing task:  NASNet.json
normalizing task:  DARTS.json
normalizing task:  ENAS.json
normalizing task:  PNAS.json
normalizing task:  DARTS_lr-wd.json
normalizing task:  DARTS_fix-w-d.json
Epoch 1/150 | Train Loss: 0.0991 | Epoch Time: 1.10s | Spearman@80: 0.1646 | Kendall@80: 0.1157
Epoch 2/150 | Train Loss: 0.0902 | Epoch Time: 0.42s | Spearman@80: 0.1066 | Kendall@80: 0.0764
Epoch 3/150 | Train Loss: 0.0903 | Epoch Time: 0.45s | Spearman@80: 0.1356 | Kendall@80: 0.0948
Epoch 4/150 | Train Loss: 0.0720 | Epoch Time: 0.45s | Spearman@80: 0.1348 | Kendall@80: 0.0891
Epoch 5/150 | Train Loss: 0.0782 | Epoch Time: 0.45s | Spearman@80: 0.1508 | Kendall@80: 0.1024
Epoch 6/150 | Train Loss: 0.0707 | Epoch Time: 0.42s | Spearman@80: 0.1627 | Kendall@80: 0.1138
Epoch 7/150 | Train Loss: 0.0735 | Epoch Time: 0.43s | Spearman@80: 0.1913 | Kendall@80: 0.1334
Epoch 8/150 | Train Loss: 0.0727 | Epoch Time: 0.42s | Spearman@80: 0.1595 | Kendall@80: 0.1112
Epoch 9/150 | Train Loss: 0.0738 | Epoch Time: 0.44s | Spearman@80: 0.2188 | Kendall@80: 0.1499
Epoch 10/150 | Train Loss: 0.0758 | Epoch Time: 0.45s | Spearman@80: 0.2829 | Kendall@80: 0.1898
Epoch 11/150 | Train Loss: 0.0776 | Epoch Time: 0.43s | Spearman@80: 0.2454 | Kendall@80: 0.1645
Epoch 12/150 | Train Loss: 0.0660 | Epoch Time: 0.45s | Spearman@80: 0.1032 | Kendall@80: 0.0732
Epoch 13/150 | Train Loss: 0.0654 | Epoch Time: 0.47s | Spearman@80: 0.1323 | Kendall@80: 0.0903
Epoch 14/150 | Train Loss: 0.0666 | Epoch Time: 0.43s | Spearman@80: 0.2031 | Kendall@80: 0.1322
Epoch 15/150 | Train Loss: 0.0582 | Epoch Time: 0.43s | Spearman@80: 0.2339 | Kendall@80: 0.1556
Epoch 16/150 | Train Loss: 0.0572 | Epoch Time: 0.42s | Spearman@80: 0.1678 | Kendall@80: 0.1138
Epoch 17/150 | Train Loss: 0.0558 | Epoch Time: 0.45s | Spearman@80: 0.2393 | Kendall@80: 0.1607
Epoch 18/150 | Train Loss: 0.0524 | Epoch Time: 0.43s | Spearman@80: 0.2719 | Kendall@80: 0.1810
Epoch 19/150 | Train Loss: 0.0536 | Epoch Time: 0.43s | Spearman@80: 0.2316 | Kendall@80: 0.1531
Epoch 20/150 | Train Loss: 0.0515 | Epoch Time: 0.43s | Spearman@80: 0.1966 | Kendall@80: 0.1309
Epoch 21/150 | Train Loss: 0.0587 | Epoch Time: 0.44s | Spearman@80: 0.2211 | Kendall@80: 0.1461
Epoch 22/150 | Train Loss: 0.0525 | Epoch Time: 0.42s | Spearman@80: 0.2911 | Kendall@80: 0.2038
Epoch 23/150 | Train Loss: 0.0600 | Epoch Time: 0.42s | Spearman@80: 0.1632 | Kendall@80: 0.1093
Epoch 24/150 | Train Loss: 0.0483 | Epoch Time: 0.44s | Spearman@80: 0.1960 | Kendall@80: 0.1366
Epoch 25/150 | Train Loss: 0.0449 | Epoch Time: 0.42s | Spearman@80: 0.3046 | Kendall@80: 0.2095
Epoch 26/150 | Train Loss: 0.0462 | Epoch Time: 0.43s | Spearman@80: 0.2102 | Kendall@80: 0.1404
Epoch 27/150 | Train Loss: 0.0407 | Epoch Time: 0.44s | Spearman@80: 0.4231 | Kendall@80: 0.2938
Epoch 28/150 | Train Loss: 0.0569 | Epoch Time: 0.43s | Spearman@80: 0.3584 | Kendall@80: 0.2399
Epoch 29/150 | Train Loss: 0.0362 | Epoch Time: 0.45s | Spearman@80: 0.3217 | Kendall@80: 0.2145
Epoch 30/150 | Train Loss: 0.0497 | Epoch Time: 0.42s | Spearman@80: 0.2517 | Kendall@80: 0.1670
Epoch 31/150 | Train Loss: 0.0416 | Epoch Time: 0.43s | Spearman@80: 0.2667 | Kendall@80: 0.1778
Epoch 32/150 | Train Loss: 0.0593 | Epoch Time: 0.44s | Spearman@80: 0.2523 | Kendall@80: 0.1664
Epoch 33/150 | Train Loss: 0.0469 | Epoch Time: 0.46s | Spearman@80: 0.3436 | Kendall@80: 0.2304
Epoch 34/150 | Train Loss: 0.0415 | Epoch Time: 0.44s | Spearman@80: 0.2618 | Kendall@80: 0.1778
Epoch 35/150 | Train Loss: 0.0510 | Epoch Time: 0.43s | Spearman@80: 0.2233 | Kendall@80: 0.1594
Epoch 36/150 | Train Loss: 0.0454 | Epoch Time: 0.42s | Spearman@80: 0.3758 | Kendall@80: 0.2507
Epoch 37/150 | Train Loss: 0.0413 | Epoch Time: 0.42s | Spearman@80: 0.3972 | Kendall@80: 0.2722
Epoch 38/150 | Train Loss: 0.0389 | Epoch Time: 0.46s | Spearman@80: 0.3586 | Kendall@80: 0.2437
Epoch 39/150 | Train Loss: 0.0394 | Epoch Time: 0.46s | Spearman@80: 0.3577 | Kendall@80: 0.2450
Epoch 40/150 | Train Loss: 0.0475 | Epoch Time: 0.46s | Spearman@80: 0.4188 | Kendall@80: 0.2786
Epoch 41/150 | Train Loss: 0.0495 | Epoch Time: 0.44s | Spearman@80: 0.4237 | Kendall@80: 0.2900
Epoch 42/150 | Train Loss: 0.0409 | Epoch Time: 0.42s | Spearman@80: 0.4400 | Kendall@80: 0.2995
Epoch 43/150 | Train Loss: 0.0400 | Epoch Time: 0.42s | Spearman@80: 0.3833 | Kendall@80: 0.2545
Epoch 44/150 | Train Loss: 0.0480 | Epoch Time: 0.46s | Spearman@80: 0.3209 | Kendall@80: 0.2133
Epoch 45/150 | Train Loss: 0.0373 | Epoch Time: 0.42s | Spearman@80: 0.2702 | Kendall@80: 0.1848
Epoch 46/150 | Train Loss: 0.0320 | Epoch Time: 0.43s | Spearman@80: 0.3362 | Kendall@80: 0.2203
