normalizing task:  Amoeba.json
normalizing task:  PNAS_fix-w-d.json
normalizing task:  ENAS_fix-w-d.json
normalizing task:  NASNet.json
normalizing task:  DARTS.json
normalizing task:  ENAS.json
normalizing task:  PNAS.json
normalizing task:  DARTS_lr-wd.json
normalizing task:  DARTS_fix-w-d.json
Epoch 1/150 | Train Loss: 0.0989 | Epoch Time: 1.00s | Spearman@80: 0.3836 | Kendall@80: 0.2822
Epoch 2/150 | Train Loss: 0.0944 | Epoch Time: 0.43s | Spearman@80: 0.4413 | Kendall@80: 0.3120
Epoch 3/150 | Train Loss: 0.0758 | Epoch Time: 0.44s | Spearman@80: 0.3239 | Kendall@80: 0.2195
Epoch 4/150 | Train Loss: 0.0741 | Epoch Time: 0.42s | Spearman@80: 0.4638 | Kendall@80: 0.3120
Epoch 5/150 | Train Loss: 0.0711 | Epoch Time: 0.43s | Spearman@80: 0.5018 | Kendall@80: 0.3424
Epoch 6/150 | Train Loss: 0.0633 | Epoch Time: 0.45s | Spearman@80: 0.5364 | Kendall@80: 0.3785
Epoch 7/150 | Train Loss: 0.0708 | Epoch Time: 0.42s | Spearman@80: 0.4869 | Kendall@80: 0.3481
Epoch 8/150 | Train Loss: 0.0703 | Epoch Time: 0.43s | Spearman@80: 0.4632 | Kendall@80: 0.3215
Epoch 9/150 | Train Loss: 0.0548 | Epoch Time: 0.43s | Spearman@80: 0.4724 | Kendall@80: 0.3291
Epoch 10/150 | Train Loss: 0.0634 | Epoch Time: 0.44s | Spearman@80: 0.4115 | Kendall@80: 0.2746
Epoch 11/150 | Train Loss: 0.0595 | Epoch Time: 0.44s | Spearman@80: 0.4786 | Kendall@80: 0.3253
Epoch 12/150 | Train Loss: 0.0571 | Epoch Time: 0.42s | Spearman@80: 0.5211 | Kendall@80: 0.3658
Epoch 13/150 | Train Loss: 0.0519 | Epoch Time: 0.42s | Spearman@80: 0.5024 | Kendall@80: 0.3519
Epoch 14/150 | Train Loss: 0.0571 | Epoch Time: 0.42s | Spearman@80: 0.4275 | Kendall@80: 0.2917
Epoch 15/150 | Train Loss: 0.0605 | Epoch Time: 0.52s | Spearman@80: 0.4071 | Kendall@80: 0.2759
