Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  105.26420259475708  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 1/150 | Train Loss: 0.1001 | Epoch Time: 2.77s | Spearman@80: 0.5551 | Kendall@80: 0.3906
Epoch 2/150 | Train Loss: 0.0997 | Epoch Time: 0.04s | Spearman@80: 0.5346 | Kendall@80: 0.3747
Epoch 3/150 | Train Loss: 0.0962 | Epoch Time: 0.04s | Spearman@80: 0.5373 | Kendall@80: 0.3781
Epoch 4/150 | Train Loss: 0.0969 | Epoch Time: 0.04s | Spearman@80: 0.5434 | Kendall@80: 0.3867
Epoch 5/150 | Train Loss: 0.0930 | Epoch Time: 0.04s | Spearman@80: 0.5465 | Kendall@80: 0.3914
Epoch 6/150 | Train Loss: 0.0788 | Epoch Time: 0.04s | Spearman@80: 0.5455 | Kendall@80: 0.3927
Epoch 7/150 | Train Loss: 0.0849 | Epoch Time: 0.04s | Spearman@80: 0.5445 | Kendall@80: 0.3914
Epoch 8/150 | Train Loss: 0.0851 | Epoch Time: 0.04s | Spearman@80: 0.5455 | Kendall@80: 0.3925
Epoch 9/150 | Train Loss: 0.0684 | Epoch Time: 0.04s | Spearman@80: 0.5450 | Kendall@80: 0.3930
Epoch 10/150 | Train Loss: 0.0820 | Epoch Time: 0.04s | Spearman@80: 0.5426 | Kendall@80: 0.3908
Epoch 11/150 | Train Loss: 0.0496 | Epoch Time: 0.04s | Spearman@80: 0.5394 | Kendall@80: 0.3909
Epoch 12/150 | Train Loss: 0.0430 | Epoch Time: 0.04s | Spearman@80: 0.5392 | Kendall@80: 0.3890
Epoch 13/150 | Train Loss: 0.0633 | Epoch Time: 0.04s | Spearman@80: 0.5352 | Kendall@80: 0.3888
Epoch 14/150 | Train Loss: 0.0519 | Epoch Time: 0.04s | Spearman@80: 0.5173 | Kendall@80: 0.3703
Epoch 15/150 | Train Loss: 0.0712 | Epoch Time: 0.04s | Spearman@80: 0.4913 | Kendall@80: 0.3453
Epoch 16/150 | Train Loss: 0.0282 | Epoch Time: 0.04s | Spearman@80: 0.4276 | Kendall@80: 0.2982
Epoch 17/150 | Train Loss: 0.0403 | Epoch Time: 0.04s | Spearman@80: 0.3824 | Kendall@80: 0.2691
Epoch 18/150 | Train Loss: 0.0098 | Epoch Time: 0.04s | Spearman@80: 0.3468 | Kendall@80: 0.2469
Epoch 19/150 | Train Loss: 0.0276 | Epoch Time: 0.04s | Spearman@80: 0.3401 | Kendall@80: 0.2387
Epoch 20/150 | Train Loss: 0.0108 | Epoch Time: 0.04s | Spearman@80: 0.3242 | Kendall@80: 0.2280
Epoch 21/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2924 | Kendall@80: 0.2119
Epoch 22/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2764 | Kendall@80: 0.1993
Epoch 23/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2665 | Kendall@80: 0.1883
Epoch 24/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2605 | Kendall@80: 0.1863
Epoch 25/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2523 | Kendall@80: 0.1818
Epoch 26/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2488 | Kendall@80: 0.1803
Epoch 27/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2391 | Kendall@80: 0.1706
Epoch 28/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2310 | Kendall@80: 0.1648
Epoch 29/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2251 | Kendall@80: 0.1590
Epoch 30/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2218 | Kendall@80: 0.1586
Epoch 31/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2232 | Kendall@80: 0.1593
Epoch 32/150 | Train Loss: 0.0628 | Epoch Time: 0.04s | Spearman@80: 0.2088 | Kendall@80: 0.1459
Epoch 33/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2144 | Kendall@80: 0.1526
Epoch 34/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2139 | Kendall@80: 0.1490
Epoch 35/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2157 | Kendall@80: 0.1503
Epoch 36/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2163 | Kendall@80: 0.1523
Epoch 37/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2180 | Kendall@80: 0.1506
Epoch 38/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2219 | Kendall@80: 0.1591
Epoch 39/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2079 | Kendall@80: 0.1460
Epoch 40/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2067 | Kendall@80: 0.1464
Epoch 41/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2088 | Kendall@80: 0.1488
Epoch 42/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2142 | Kendall@80: 0.1520
Epoch 43/150 | Train Loss: 0.0121 | Epoch Time: 0.04s | Spearman@80: 0.1982 | Kendall@80: 0.1370
Epoch 44/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.1696 | Kendall@80: 0.1142
Epoch 45/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.1555 | Kendall@80: 0.1054
Epoch 46/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.1612 | Kendall@80: 0.1107
Epoch 47/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.1910 | Kendall@80: 0.1354
Epoch 48/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.2288 | Kendall@80: 0.1569
Epoch 49/150 | Train Loss: 0.0020 | Epoch Time: 0.04s | Spearman@80: 0.2503 | Kendall@80: 0.1722
Epoch 50/150 | Train Loss: 0.0060 | Epoch Time: 0.04s | Spearman@80: 0.3025 | Kendall@80: 0.2103
Epoch 51/150 | Train Loss: 0.0044 | Epoch Time: 0.04s | Spearman@80: 0.3275 | Kendall@80: 0.2272
Epoch 52/150 | Train Loss: 0.0047 | Epoch Time: 0.04s | Spearman@80: 0.3506 | Kendall@80: 0.2441
Epoch 53/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.3755 | Kendall@80: 0.2624
Epoch 54/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.4042 | Kendall@80: 0.2847
Epoch 55/150 | Train Loss: 0.0000 | Epoch Time: 0.04s | Spearman@80: 0.4309 | Kendall@80: 0.3011
