name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,residual,leakyrelu,uap,opattn,attnresc,fgcn,bgcn,bmlp,bmlpdims,fbcd,back_y_info,back_opemb,ensemble_fuse_method,back_opemb_only,randopupdate,detach_mode,opemb_direct,spr,kdt,spr_std,kdt_std
opemb_direct,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,detach_none,True,0.9250669755811849,0.7831268298816081,0.00015425644146520304,0.0002574645890244896
opemb_direct,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,detach_none,True,0.9338207498342989,0.7953025915307764,0.00017494209760373679,0.0004397300738392661
opemb_direct,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,detach_none,True,False,0.9250669755811849,0.7831268298816081,0.00015425644146520304,0.0002574645890244896
opemb_direct,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,detach_none,True,False,0.9338207498342989,0.7953025915307764,0.00017494209760373679,0.0004397300738392661
