name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,residual,leakyrelu,uap,opattn,attnresc,fgcn,bgcn,bmlp,bmlpdims,fbcd,back_y_info,back_opemb,ensemble_fuse_method,back_opemb_only,spr,kdt,spr_std,kdt_std
archabl,42,8,150,PNAS,class_scene,adj_gin,1,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,add,False,0.487638987872644,0.33954424471329714,0.004978514316867374,0.0028576836111327314
archabl,42,8,150,PNAS,class_scene,adj_gin,1,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,add,False,0.5956574522477778,0.4249853755230227,0.004620485832638029,0.0029740881164987245
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,True,0.5087676101291878,0.3567377724125622,0.01106019158802455,0.006449318865159081
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,True,0.5917010624207565,0.42123543811894415,0.006820624750519519,0.004503113963769316
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,False,add,False,0.5170418603255953,0.3651458140134862,0.023120848803206945,0.01333433989813872
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,False,add,False,0.6811879988888193,0.49383380977091945,0.000647377371652464,0.0004689008346984217
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,True,add,False,0.47667049107907633,0.33224834046874796,0.007885243905051735,0.004397142021409579
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,True,add,False,0.5561930069504492,0.3944308691609554,0.015500816314085944,0.009095914197064545
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,True,add,False,0.4471194450306754,0.3162518648721998,0.04980901419687145,0.026616854602357697
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,True,add,False,0.5963971706147247,0.42283697897275213,0.0021352382467804197,0.001421631725758811
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,add,False,0.5325689631250221,0.3740512849407057,0.008237402392122858,0.0048323462082070084
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,add,False,0.6455605369854689,0.465273092151847,0.004022001993814361,0.002892957141272715
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,0.5024563102111901,0.3505339503116195,0.009032798897721062,0.005090999463361915
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,0.6540360991004762,0.4726949382427785,0.00506103410325752,0.0036750472509902697
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,0.4985557233417367,0.34838158604731695,0.009465692107313805,0.005498494868222162
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,0.6221204417526484,0.44697144848505116,0.008471145170976163,0.005814846405075272
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,add,False,0.5472115578532688,0.38717907029841625,0.016929697082918915,0.009779347615984759
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,add,False,0.6514558015741739,0.47053120715377705,0.004493760837764116,0.003137148705905036
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,True,0.49499016218045594,0.34700125631370904,0.011508984937862657,0.006729934619285173
archabl,42,8,150,PNAS,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,True,0.5900832867216522,0.420205274689636,0.008758065235669485,0.0057367110061208116
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,0.5245018749069724,0.36824190205110474,0.010115728179634544,0.005696456692305023
archabl,42,8,150,PNAS,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,0.6456690755885484,0.4665384298996618,0.006406900445254096,0.004623131569588067
