uid,name_desc,task_index,seed,source_devices,target_device,dev_train_samples,emb_transfer_samples,num_trials,spr,kdt,spr_std,kdt_std
911493906,multipredict_baseline_r,1,10,embedded_tpu_edge_tpu_int8|eyeriss|mobile_gpu_snapdragon_675_adreno_612_int8|mobile_gpu_snapdragon_855_adreno_640_int8|pixel3,2080ti_32,900,20,3,0.9773682685489136,0.8716632233335476,0.002869057021088661,0.008850713416052265
911493906,multipredict_baseline_r,1,10,embedded_tpu_edge_tpu_int8|eyeriss|mobile_gpu_snapdragon_675_adreno_612_int8|mobile_gpu_snapdragon_855_adreno_640_int8|pixel3,titan_rtx_1,900,20,3,0.9589894863673681,0.8319946359082726,0.006807059722401899,0.015123062192622641
224941127,multipredict_baseline_r,5,10,titan_rtx_1|titan_rtx_32|titanxp_1|2080ti_1|titanx_1|1080ti_1|titanx_32|titanxp_32|2080ti_32|1080ti_32|gold_6226|samsung_s7|silver_4114|gold_6240|silver_4210r|samsung_a50|pixel2,eyeriss,900,20,3,0.9440888172778398,0.8103736135199092,0.015979467105211986,0.033965025420840844
224941127,multipredict_baseline_r,5,10,titan_rtx_1|titan_rtx_32|titanxp_1|2080ti_1|titanx_1|1080ti_1|titanx_32|titanxp_32|2080ti_32|1080ti_32|gold_6226|samsung_s7|silver_4114|gold_6240|silver_4210r|samsung_a50|pixel2,desktop_gpu_gtx_1080ti_fp32,900,20,3,0.751473235055304,0.5521982329726813,0.016967560338877988,0.016733944596959736
224941127,multipredict_baseline_r,5,10,titan_rtx_1|titan_rtx_32|titanxp_1|2080ti_1|titanx_1|1080ti_1|titanx_32|titanxp_32|2080ti_32|1080ti_32|gold_6226|samsung_s7|silver_4114|gold_6240|silver_4210r|samsung_a50|pixel2,embedded_tpu_edge_tpu_int8,900,20,3,0.7649735156621009,0.57838570144602,0.025514790616327138,0.022901780483901246
478534806,multipredict_baseline_r,0,10,1080ti_1|1080ti_32|1080ti_256|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titan_rtx_256,900,20,3,0.9796713573554277,0.8818937068853362,0.004057431324500003,0.013679406470294555
478534806,multipredict_baseline_r,0,10,1080ti_1|1080ti_32|1080ti_256|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,gold_6226,900,20,3,0.9732372770957046,0.8641183429628626,0.00797340547908206,0.024948114690892524
478534806,multipredict_baseline_r,0,10,1080ti_1|1080ti_32|1080ti_256|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,fpga,900,20,3,0.9876184235350708,0.914251353160016,0.0037046669229360116,0.013415463664694116
478534806,multipredict_baseline_r,0,10,1080ti_1|1080ti_32|1080ti_256|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,pixel2,900,20,3,0.8557184292697294,0.6875174245068923,0.01149554171941569,0.01475050890036514
478534806,multipredict_baseline_r,0,10,1080ti_1|1080ti_32|1080ti_256|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,raspi4,900,20,3,0.8519704254542272,0.6799906933163905,0.04689639970098796,0.04759380728636066
478534806,multipredict_baseline_r,0,10,1080ti_1|1080ti_32|1080ti_256|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,eyeriss,900,20,3,0.9323815952519938,0.7933689443897262,0.00273102615944036,0.0032241054921566094
