name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,residual,leakyrelu,uap,opattn,attnresc,fgcn,bgcn,bmlp,bmlpdims,fbcd,back_y_info,back_opemb,ensemble_fuse_method,back_opemb_only,spr,kdt,spr_std,kdt_std
archabl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,mlp,False,0.8086532528515123,0.6175871930259368,0.0003980201682027073,0.0004897518479564444
archabl,42,8,150,nb101,class_scene,adj_gin,1,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,mlp,False,0.8688544296020085,0.6861724705736482,6.818003082248981e-05,8.704592993422268e-05
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,mlp,True,0.810109036134649,0.6231967945441277,0.0004108271202394244,0.0004482208987465515
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,mlp,True,0.8618550640731162,0.6785211777721845,0.00011372899030681612,0.00015175942117461697
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,True,mlp,False,0.8057709068986366,0.6164873578372448,0.00027843064767102936,0.00038446054355774476
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,True,mlp,False,0.881537507170026,0.7039887796403322,9.623206859297533e-05,0.0001413751355247376
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,mlp,False,0.8389234392537634,0.6536618287499001,0.00023410277596692215,0.00027578585226130235
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,mlp,False,0.8847052805471817,0.7075169133951481,2.3977418473282913e-05,5.0336359638293735e-05
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,mlp,False,0.8189629537471568,0.634553791070869,0.00011119081879250249,0.00013386780730169695
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,mlp,False,0.8868584534167654,0.7088739885335436,0.0001181130562111126,0.00021756917734235174
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,mlp,False,0.8375253794508403,0.6501926813351128,0.00029827526030425826,0.00035274751049200104
archabl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,mlp,False,0.8920824863549027,0.7194296204539729,9.680744439395247e-05,0.00012574724191072442
