name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,residual,leakyrelu,uap,opattn,attnresc,fgcn,bgcn,bmlp,bmlpdims,fbcd,back_y_info,back_opemb,spr,kdt,spr_std,kdt_std
archabl,42,8,150,nb201,class_scene,adj_gin,1,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,0.9203463982481935,0.7691747950157661,5.1443133618740884e-05,4.807684510193828e-05
archabl,42,8,150,nb201,class_scene,adj_gin,1,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,0.9239130331334579,0.7751541267423345,5.4669432671154094e-05,0.00019317590140596448
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,0.9260445920346875,0.7791618144535476,0.0001325166147261685,0.00022172454846262056
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,0.926046615002778,0.7799468352117858,6.108610592651382e-05,0.00019107721677597087
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,0.923082368837408,0.7761658070931668,0.00011312647653964028,0.0001596929720877805
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,0.9341086693245497,0.7956151457650039,3.928468324100269e-05,0.0001076950241150016
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,0.9214581711621993,0.772651615571569,9.36317442355005e-05,4.4475477967486475e-05
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,0.9242098388732068,0.7763360416564145,7.209801638808623e-05,0.00032976288453418547
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,False,0.9209931248941136,0.7685745147243926,6.326551093491295e-05,7.91594136049867e-05
archabl,42,8,150,nb201,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,False,0.9259086525239035,0.7789541226428104,6.361672978843159e-05,0.0002120471207665617
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,0.9249150318564512,0.7790696720379167,6.857629254822157e-05,0.00010291532613121742
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,0.9287844176597062,0.7874574788442059,9.042887382064052e-05,0.000321929974666478
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,True,0.9219202849451108,0.7705671599213447,4.4911663943840354e-05,8.330986040870553e-06
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,True,0.9287631654051843,0.7835869039975853,4.469378830645358e-05,0.0001473602980084832
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,True,0.9239660435785181,0.7764862639570574,8.43982636086533e-05,4.600710210895664e-05
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,True,0.9301981761988721,0.7873292697196187,4.5420167545929315e-05,0.00014366453828871322
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,0.917237101707113,0.7667490736365566,0.00012742936201654709,7.077756967974567e-05
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,False,False,0.9287706451407538,0.7828697787205017,3.628693019690422e-05,0.0001478264192418838
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,0.9279771442775768,0.7835408823175326,0.00011831663570618669,0.0002196401911718008
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,0.9293824949237335,0.7846199351666833,5.366081030905301e-05,0.00021091449607915812
archabl,42,8,150,nb201,class_scene,adj_gin,3,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,False,128_128_128,128_128,True,False,0.9192762835222504,0.7686307762535182,0.000200959837203087,0.00010463684819651287
