name_desc,seed,batch_size,epochs,space,task,representation,timesteps,pwl_mse,test_tagates,gnn_type,back_dense,key,residual,leakyrelu,uap,opattn,attnresc,fgcn,bgcn,bmlp,bmlpdims,fbcd,back_y_info,back_opemb,ensemble_fuse_method,back_opemb_only,randopupdate,detach_mode,spr,kdt,spr_std,kdt_std
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,add,False,False,detach_all,0.8271068405322707,0.6432091871414493,0.0012359925864597189,0.0013904962928126196
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,add,False,False,detach_all,0.8935753307599178,0.7177078389005621,3.373861565348778e-05,5.015438302281598e-05
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,add,False,False,default,0.8136213736615221,0.6274130884445404,0.00045426783133686047,0.0003712459671288488
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,add,False,False,default,0.8994734673715739,0.7280241183215462,1.2973301551884116e-05,4.0029413144148727e-05
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_all,0.8444820263246805,0.6551590258332545,1.6715407133397418e-05,2.0319397798624502e-05
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_all,0.8728547473693906,0.6934432656363683,0.0004127197303820859,0.0005287040599881084
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,0.7991851392335135,0.6108000006170379,0.00023773235182210397,0.00031148870529683494
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,detach_none,0.8939533231837881,0.7206141767723523,8.312799503436097e-05,0.00021367418076054557
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,add,False,False,detach_none,0.8075291657684994,0.6214730664009912,0.0018815097043511986,0.0023017704465879275
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,add,False,False,detach_none,0.904506688145949,0.7349521405242658,1.6189395773089912e-06,4.915695565627941e-06
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,default,0.810434300365792,0.6246326981984955,0.0019983960734190035,0.00229673329433259
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,False,add,False,False,default,0.8909167542743256,0.7138717358502196,4.31006880149356e-05,6.906708232037362e-05
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,detach_all,0.8158686598960068,0.628343477068264,0.0001625851858827697,0.0002329463066405114
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,detach_all,0.8803682278922582,0.7013135720807209,0.0001375038183058161,0.00030217414362119344
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,add,False,False,detach_all,0.8114204575202782,0.6194010387089796,0.00018327578111684479,0.00023531723096874814
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,False,add,False,False,detach_all,0.8778519039947282,0.7007105956215546,0.00011460295404528774,0.00018638355080305595
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,add,False,False,detach_none,0.8226451855866626,0.6328949362251038,0.0003357352416585278,0.0005601696293553183
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,add,False,False,detach_none,0.8713175775481967,0.6976742813936455,0.00015045112472124555,9.073645138020366e-05
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,add,False,False,default,0.8426662986612495,0.6587779865357876,1.4610847352353178e-05,1.2058192683187853e-06
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,True,True,add,False,False,default,0.8884345173626403,0.7121833530270583,0.00022709444549932122,0.00023264735770566348
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,detach_none,0.8289685611953814,0.643571109434317,0.001243449300017108,0.0013251585240736522
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,detach_none,0.8654406606551874,0.6861400990823544,8.294897505658245e-05,0.0001520578314770161
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,64,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,default,0.8075945318668678,0.6160889718001736,0.0003058997793894251,0.0003955444684900854
detach_abl,42,8,150,nb101,class_scene,adj_gin,2,pwl,False,dense,False,128,True,True,True,True,True,128_128_128,128_128_128,True,128_128_128,128_128,False,True,add,False,False,default,0.8817702839956563,0.7069143668298894,0.00022276190137537674,0.0003336476098911459
