uid,name_desc,seed,source_devices,target_device,dev_train_samples,emb_transfer_samples,num_trials,spr,kdt,spr_std,kdt_std
562319105,multipredict_baseline,10,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,essential_ph_1,900,12,3,0.4561362909541733,0.32343275579240444,0.13809636922364193,0.10169296515281374
180459531,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titanx_1,900,12,3,0.4809031623919518,0.33221938161621173,0.04113845145339234,0.030244107382664667
180459531,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titanx_32,900,12,3,0.5580974372038975,0.3896603320664133,0.026437498864650667,0.01873420977645852
180459531,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titanx_64,900,12,3,0.6283422439816897,0.4458203107288125,0.01902985219797128,0.017742344476120636
180459531,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,gold_6240,900,12,3,0.699795850423834,0.508713049276522,0.015601595995308894,0.014322482437809248
88592372,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,1080ti_1,900,12,3,0.14197729660862468,0.09496728850041326,0.043880857059658926,0.02933459254053602
88592372,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,1080ti_32,900,12,3,0.07397618604804278,0.048828993575399014,0.12567790521533592,0.08451159834655471
88592372,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,2080ti_1,900,12,3,0.12323039849721594,0.0823884776955391,0.02518706200059721,0.016838640079631356
88592372,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,titan_rtx_1,900,12,3,0.23402516854884894,0.1574613099092705,0.05988388739707562,0.04067202443153956
88592372,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,titan_rtx_32,900,12,3,0.3007250153570006,0.20328113622724545,0.018045827054139835,0.01307357974784629
17646047,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,1080ti_1,900,12,3,0.2192707033308281,0.14756903380676137,0.061419552804205864,0.04177826005172857
17646047,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,1080ti_32,900,12,3,0.1858124776404991,0.1250068146962726,0.03573919111509161,0.02410307587123976
17646047,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,2080ti_32,900,12,3,0.24817836338434174,0.16773517504237748,0.08907540155122655,0.06193616011089943
17646047,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,titan_rtx_1,900,12,3,0.23070147115154582,0.1548775927591842,0.019142456814776866,0.012702551474475236
17646047,multipredict_baseline,10,essential_ph_1|gold_6226|gold_6240|pixel3|raspi4,titanxp_1,900,12,3,0.13375492764053543,0.09016750280550599,0.11727223389133314,0.07958490817314634
905665634,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,eyeriss,900,12,3,0.603529484082309,0.4257368314320314,0.019960372664109355,0.016208974217574244
905665634,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,fpga,900,12,3,0.5660205338890658,0.3970089005397448,0.0490037165487134,0.0389068639481092
905665634,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,raspi4,900,12,3,0.48259671079186833,0.3390469560578782,0.1894930473163699,0.13857975213926133
905665634,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,samsung_a50,900,12,3,0.5495354073824839,0.3939236944858222,0.03822666247120403,0.031467946840399615
905665634,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,samsung_s7,900,12,3,0.49333517259867316,0.3509073705076189,0.06762319036539069,0.05316537395567941
2639898,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titanx_1,900,16,3,0.5300613099704523,0.36983380676135225,0.04736724158187919,0.036024620801319865
2639898,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titanx_32,900,16,3,0.6326823186512925,0.4511579115823165,0.02416133069532409,0.021874627585883637
2639898,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,titanx_64,900,16,3,0.6462442070977682,0.4629705141028206,0.07382503907877186,0.06525002520008924
2639898,multipredict_baseline,10,1080ti_1|1080ti_32|1080ti_64|silver_4114|silver_4210r|samsung_a50|pixel3|essential_ph_1|samsung_s7,gold_6240,900,16,3,0.6800890805795632,0.49236156564646266,0.012653106263050532,0.012876199940823417
589156149,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,eyeriss,900,16,3,0.5706162514113425,0.40053804148880706,0.011133886863288563,0.008186487203397212
589156149,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,fpga,900,16,3,0.5885699557782677,0.41693432496150246,0.06527295303928106,0.0510076296982687
589156149,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,raspi4,900,16,3,0.5155056279075815,0.3611368759240631,0.14365407489383092,0.10505163326842573
589156149,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,samsung_a50,900,16,3,0.44941822628808686,0.3176870945039328,0.10302392175235488,0.07727768933660738
589156149,multipredict_baseline,10,2080ti_1|essential_ph_1|silver_4114|titan_rtx_1|titan_rtx_32,samsung_s7,900,16,3,0.4575743602664249,0.3231663551624255,0.045819724887100004,0.03475930787879639
337023186,multipredict_baseline,10,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,1080ti_1,900,16,3,0.3944969660838786,0.2723179835967194,0.14844819308362917,0.10828153522693088
337023186,multipredict_baseline,10,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,pixel2,900,16,3,0.5828341773025,0.421520423352743,0.09293713025044241,0.07615249138646105
337023186,multipredict_baseline,10,1080ti_64|2080ti_1|eyeriss|gold_6226|gold_6240|raspi4|samsung_s7|silver_4210r|titan_rtx_1|titan_rtx_32,essential_ph_1,900,16,3,0.49561330931656394,0.3534865254481215,0.11967321490058343,0.08774100718650145
977621261,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,1080ti_1,900,16,3,0.19843258147513385,0.1333873461884035,0.042535280019192906,0.028676804536556886
977621261,multipredict_baseline,10,essential_ph_1|pixel2|pixel3|raspi4|samsung_s7,1080ti_32,900,16,3,0.15315519441420775,0.10297478162299127,0.07310884822194635,0.049837550233271556
